variant,source_family,source_file,operation,beta,guard_factor,guard_group,badclean_count,badclean_max_poscos,file,basename,changed_rows_vs_e247,changed_cells_vs_e247,move_l1,move_l2,abs_Q1,abs_Q2,abs_Q3,abs_S1,abs_S2,abs_S3,abs_S4,opposite_only,support_actual_p90,support_actual_mean,support_source_transfer_auc,label,total_q3_abs,q3_nonzero_rows,e247_body_n,e247_body_q3_abs,e247_body_q3_aligned_abs,e247_body_q3_opposite_abs,e247_body_alignment_ratio,e247_common_n,e247_common_q3_abs,e247_common_q3_aligned_abs,e247_common_q3_opposite_abs,e247_common_alignment_ratio,e247_only_n,e247_only_q3_abs,e247_only_q3_aligned_abs,e247_only_q3_opposite_abs,e247_only_alignment_ratio,e256_only_n,e256_only_q3_abs,e256_only_q3_aligned_abs,e256_only_q3_opposite_abs,e256_only_alignment_ratio,support_high_n,support_high_q3_abs,support_high_q3_aligned_abs,support_high_q3_opposite_abs,support_high_alignment_ratio,support_interference_l1,support_alignment_score
graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b0.50,e286_support_graft,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l1_c0p2_anti_amp_ctrl_add_low_preserve_top5_d8b9a2d7.csv,graft_raw,0.5,1.0,none,0,0.0,analysis_outputs/submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b0_50_0cb1ee92.csv,submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b0_50_0cb1ee92.csv,248,630,4.694207327060131,0.44480246387432815,2.241007611389761,1.0298561624943101,0.29010879467249806,1.1240588133850626,0.0,0.009175945118500346,0.0,False,-4.493139560518299e-06,-8.784449058896192e-06,0.5,graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b0.50,0.2901087946724983,19,34,0.1341011730229355,0.1341011730229355,0.0,1.0,21,0.084396600798257,0.084396600798257,0.0,1.0,13,0.04970457222467849,0.04970457222467849,0.0,1.0,4,0.0,0.0,0.0,0.0,26,0.1341011730229355,0.1341011730229355,0.0,1.0,0.0,1.25
graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b1.00,e286_support_graft,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l1_c0p2_anti_amp_ctrl_add_low_preserve_top5_d8b9a2d7.csv,graft_raw,1.0,1.0,none,0,0.0,analysis_outputs/submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b1_00_9258061b.csv,submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b1_00_9258061b.csv,248,630,4.7548927326933175,0.44759615925832996,2.241007611389761,1.0298561624943101,0.3507942003056832,1.1240588133850626,0.0,0.009175945118500346,0.0,False,-4.493139560518299e-06,-8.784449058896192e-06,0.5,graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b1.00,0.3507942003056844,19,34,0.1341011730229355,0.1341011730229355,0.0,1.0,21,0.084396600798257,0.084396600798257,0.0,1.0,13,0.04970457222467849,0.04970457222467849,0.0,1.0,4,0.0,0.0,0.0,0.0,26,0.1341011730229355,0.1341011730229355,0.0,1.0,0.0,1.25
graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b1.50,e286_support_graft,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l1_c0p2_anti_amp_ctrl_add_low_preserve_top5_d8b9a2d7.csv,graft_raw,1.5,1.0,none,0,0.0,analysis_outputs/submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b1_50_b2bdcee4.csv,submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b1_50_b2bdcee4.csv,248,630,4.815578138326503,0.45221396665704655,2.241007611389761,1.0298561624943101,0.41147960593886845,1.1240588133850626,0.0,0.009175945118500346,0.0,False,-4.493139560518299e-06,-8.784449058896192e-06,0.5,graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b1.50,0.41147960593886956,19,34,0.1341011730229355,0.1341011730229355,0.0,1.0,21,0.084396600798257,0.084396600798257,0.0,1.0,13,0.04970457222467849,0.04970457222467849,0.0,1.0,4,0.0,0.0,0.0,0.0,26,0.1341011730229355,0.1341011730229355,0.0,1.0,0.0,1.25
graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b2.00,e286_support_graft,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l1_c0p2_anti_amp_ctrl_add_low_preserve_top5_d8b9a2d7.csv,graft_raw,2.0,1.0,none,0,0.0,analysis_outputs/submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b2_00_52d29a3f.csv,submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b2_00_52d29a3f.csv,248,630,4.876263543959688,0.4586007865664313,2.241007611389761,1.0298561624943101,0.4721650115720536,1.1240588133850626,0.0,0.009175945118500346,0.0,False,-4.493139560518299e-06,-8.784449058896192e-06,0.5,graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b2.00,0.4721650115720539,19,34,0.1341011730229355,0.1341011730229355,0.0,1.0,21,0.084396600798257,0.084396600798257,0.0,1.0,13,0.04970457222467849,0.04970457222467849,0.0,1.0,4,0.0,0.0,0.0,0.0,26,0.1341011730229355,0.1341011730229355,0.0,1.0,0.0,1.25
graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b3.00,e286_support_graft,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l1_c0p2_anti_amp_ctrl_add_low_preserve_top5_d8b9a2d7.csv,graft_raw,3.0,1.0,none,0,0.0,analysis_outputs/submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b3_00_aaa50850.csv,submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b3_00_aaa50850.csv,248,630,4.997634355226058,0.47637724637824386,2.241007611389761,1.0298561624943101,0.593535822838424,1.1240588133850626,0.0,0.009175945118500346,0.0,False,-4.493139560518299e-06,-8.784449058896192e-06,0.5,graft_raw_e247_body_vs_clean_cell_geometry_lr_l1_c0p2__b3.00,0.5935358228384248,19,34,0.1341011730229355,0.1341011730229355,0.0,1.0,21,0.084396600798257,0.084396600798257,0.0,1.0,13,0.04970457222467849,0.04970457222467849,0.0,1.0,4,0.0,0.0,0.0,0.0,26,0.1341011730229355,0.1341011730229355,0.0,1.0,0.0,1.25
graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b0.50,e286_support_graft,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l2_c0p3_raw_ctrl_add_low_preserve_top5_0d148e41.csv,graft_raw,0.5,1.0,none,0,0.0,analysis_outputs/submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b0_50_8aabf95b.csv,submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b0_50_8aabf95b.csv,248,630,4.674272494160466,0.4443622172173714,2.241007611389761,1.0298561624943101,0.2701739617728317,1.1240588133850626,0.0,0.009175945118500346,0.0,False,-4.384434150699312e-06,-6.6143805178602e-06,0.4615384615384615,graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b0.50,0.27017396177283176,19,34,0.1341011730229355,0.1341011730229355,0.0,1.0,21,0.084396600798257,0.084396600798257,0.0,1.0,13,0.04970457222467849,0.04970457222467849,0.0,1.0,4,0.0,0.0,0.0,0.0,26,0.1341011730229355,0.1341011730229355,0.0,1.0,0.0,1.25
graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b0.50,e286_support_graft,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l2_c0p3_smooth_weighted_ctrl_add_low_preserve_top5_27ab2576.csv,graft_raw,0.5,1.0,none,0,0.0,analysis_outputs/submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b0_50_b2e97e9b.csv,submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b0_50_b2e97e9b.csv,248,630,4.677223461451318,0.44440658422369433,2.241007611389761,1.0298561624943101,0.2731249290636844,1.1240588133850626,0.0,0.009175945118500346,0.0,False,-3.897806541310514e-06,-6.227485215777583e-06,0.4615384615384615,graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b0.50,0.27312492906368385,19,34,0.1341011730229355,0.1341011730229355,0.0,1.0,21,0.084396600798257,0.084396600798257,0.0,1.0,13,0.04970457222467849,0.04970457222467849,0.0,1.0,4,0.0,0.0,0.0,0.0,26,0.1341011730229355,0.1341011730229355,0.0,1.0,0.0,1.25
graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b0.50,e286_support_graft,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l2_c0p3_smooth_weighted_ctrl_add_low_preserve_top3_67c7d752.csv,graft_raw,0.5,1.0,none,0,0.0,analysis_outputs/submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b0_50_88653e3b.csv,submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b0_50_88653e3b.csv,248,628,4.651857541366144,0.4439983364968212,2.241007611389761,1.0298561624943101,0.24775900897850983,1.1240588133850626,0.0,0.009175945118500346,0.0,False,-3.2351964156467454e-06,-4.857012616218415e-06,0.4615384615384615,graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b0.50,0.24775900897850972,17,34,0.1341011730229355,0.1341011730229355,0.0,1.0,21,0.084396600798257,0.084396600798257,0.0,1.0,13,0.04970457222467849,0.04970457222467849,0.0,1.0,4,0.0,0.0,0.0,0.0,26,0.1341011730229355,0.1341011730229355,0.0,1.0,0.0,1.25
graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b0.50,e286_support_graft,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l2_c0p3_raw_ctrl_add_low_preserve_top3_f89fbfd6.csv,graft_raw,0.5,1.0,none,0,0.0,analysis_outputs/submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b0_50_ecf3f349.csv,submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b0_50_ecf3f349.csv,248,628,4.652625749917145,0.444006678801893,2.241007611389761,1.0298561624943101,0.248527217529511,1.1240588133850626,0.0,0.009175945118500346,0.0,False,-2.9830515524425585e-06,-4.319278459338452e-06,0.4615384615384615,graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b0.50,0.2485272175295114,17,34,0.1341011730229355,0.1341011730229355,0.0,1.0,21,0.084396600798257,0.084396600798257,0.0,1.0,13,0.04970457222467849,0.04970457222467849,0.0,1.0,4,0.0,0.0,0.0,0.0,26,0.1341011730229355,0.1341011730229355,0.0,1.0,0.0,1.25
graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b1.00,e286_support_graft,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l2_c0p3_raw_ctrl_add_low_preserve_top5_0d148e41.csv,graft_raw,1.0,1.0,none,0,0.0,analysis_outputs/submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b1_00_70369cd3.csv,submission_e354_e247support_graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b1_00_70369cd3.csv,248,630,4.715023066893984,0.4458435988880739,2.241007611389761,1.0298561624943101,0.3109245345063506,1.1240588133850626,0.0,0.009175945118500346,0.0,False,-4.384434150699312e-06,-6.6143805178602e-06,0.4615384615384615,graft_raw_e247_body_vs_clean_cell_geometry_lr_l2_c0p3__b1.00,0.3109245345063518,19,34,0.1341011730229355,0.1341011730229355,0.0,1.0,21,0.084396600798257,0.084396600798257,0.0,1.0,13,0.04970457222467849,0.04970457222467849,0.0,1.0,4,0.0,0.0,0.0,0.0,26,0.1341011730229355,0.1341011730229355,0.0,1.0,0.0,1.25
