basename,source_path,recipe,source_note,seed_count,seed_basenames,weight,nonzero_rows,nonzero_cells,mean_abs_delta,max_abs_delta,l1_delta,signed_delta_sum,q_abs_share,s_abs_share,abs_Q1,abs_Q2,abs_Q3,abs_S1,abs_S2,abs_S3,abs_S4,promotion_decision,strict_promote_gate,info_sensor_gate,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current,old_promotion_decision,old_strict_promote,actual_mean,actual_p10,actual_p90,actual_beats_current_rate,null_count,null_strict_rate,p90_dominance,mean_dominance,worst_mode_p90_dominance,dateblock_p90_dominance,q_s_swap_p90_dominance,row_p90_dominance,sign_flip_p90_dominance,subject_p90_dominance,target_perm_p90_dominance,public_free_submission_ready,final_decision
submission_e314_humanready_single_rank1_k12_w18_0_b333d023.csv,analysis_outputs/submission_e314_humanready_single_rank1_k12_w18_0_b333d023.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,18.0,3,3,0.0004527587317008718,0.35,0.7923277804765256,0.7923277804765256,1.0,0.0,0.0,0.0,0.7923277804765256,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011052273361235166,-0.00014102773667082748,-7.169616395803447e-05,1.0,-0.007444837078021682,promote_candidate,True,-0.00011052273361235166,-0.00014102773667082748,-7.169616395803447e-05,1.0,26,0.6923076923076923,0.7692307692307693,0.2692307692307692,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,1.0,False,blocked_by_human_ready_lift_nulls
submission_e314_humanready_single_rank1_k3_w18_0_b333d023.csv,analysis_outputs/submission_e314_humanready_single_rank1_k3_w18_0_b333d023.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,18.0,3,3,0.0004527587317008718,0.35,0.7923277804765256,0.7923277804765256,1.0,0.0,0.0,0.0,0.7923277804765256,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011052273361235166,-0.00014102773667082748,-7.169616395803447e-05,1.0,-0.007444837078021682,promote_candidate,True,-0.00011052273361235166,-0.00014102773667082748,-7.169616395803447e-05,1.0,26,0.6923076923076923,0.6923076923076923,0.19230769230769232,0.5,0.5,1.0,0.5,1.0,0.6666666666666666,1.0,False,blocked_by_human_ready_lift_nulls
submission_e314_humanready_single_rank7_k12_w26_0_d5dd85d8.csv,analysis_outputs/submission_e314_humanready_single_rank7_k12_w26_0_d5dd85d8.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_swap_low_high_top3_80ab918c.csv,26.0,6,6,0.0007005190834450602,0.35,1.2259083960288555,0.8526578647732591,1.0,0.0,0.0,0.0,1.2259083960288555,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011797151161518443,-0.00015134021723921696,-7.156697009767854e-05,1.0,-0.007292245869133379,promote_candidate,True,-0.00011797151161518443,-0.00015134021723921696,-7.156697009767854e-05,1.0,26,0.6923076923076923,0.6153846153846154,0.3076923076923077,0.16666666666666666,0.5,1.0,0.16666666666666666,1.0,0.6666666666666666,1.0,False,blocked_by_human_ready_lift_nulls
submission_e314_humanready_single_rank7_k20_w26_0_d5dd85d8.csv,analysis_outputs/submission_e314_humanready_single_rank7_k20_w26_0_d5dd85d8.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_swap_low_high_top3_80ab918c.csv,26.0,6,6,0.0007005190834450602,0.35,1.2259083960288555,0.8526578647732591,1.0,0.0,0.0,0.0,1.2259083960288555,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011797151161518443,-0.00015134021723921696,-7.156697009767854e-05,1.0,-0.007292245869133379,promote_candidate,True,-0.00011797151161518443,-0.00015134021723921696,-7.156697009767854e-05,1.0,26,0.6923076923076923,0.5,0.3076923076923077,0.0,0.3333333333333333,1.0,0.0,1.0,0.5,1.0,False,blocked_by_human_ready_lift_nulls
submission_e314_humanready_single_rank7_kall_w26_0_d5dd85d8.csv,analysis_outputs/submission_e314_humanready_single_rank7_kall_w26_0_d5dd85d8.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_swap_low_high_top3_80ab918c.csv,26.0,6,6,0.0007005190834450602,0.35,1.2259083960288555,0.8526578647732591,1.0,0.0,0.0,0.0,1.2259083960288555,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011797151161518443,-0.00015134021723921696,-7.156697009767854e-05,1.0,-0.007292245869133379,promote_candidate,True,-0.00011797151161518443,-0.00015134021723921696,-7.156697009767854e-05,1.0,26,0.6923076923076923,0.5,0.2692307692307692,0.0,0.6666666666666666,1.0,0.0,1.0,0.16666666666666666,1.0,False,blocked_by_human_ready_lift_nulls
submission_e314_humanready_single_rank2_k12_w26_0_ed9b6ac1.csv,analysis_outputs/submission_e314_humanready_single_rank2_k12_w26_0_ed9b6ac1.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_03ccfe02.csv,26.0,3,3,0.00040862625473722663,0.35,0.7150959457901466,0.7150959457901466,1.0,0.0,0.0,0.0,0.7150959457901466,0.0,0.0,0.0,0.0,promote_candidate,True,False,-9.51306027547689e-05,-0.00012110375687689038,-6.387978161735698e-05,1.0,-0.0069901621214426,promote_candidate,True,-9.51306027547689e-05,-0.00012110375687689038,-6.387978161735698e-05,1.0,26,0.6923076923076923,0.6923076923076923,0.34615384615384615,0.16666666666666666,0.6666666666666666,1.0,0.16666666666666666,1.0,0.8333333333333334,1.0,False,blocked_by_human_ready_lift_nulls
submission_e314_humanready_single_rank2_kall_w26_0_ed9b6ac1.csv,analysis_outputs/submission_e314_humanready_single_rank2_kall_w26_0_ed9b6ac1.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_03ccfe02.csv,26.0,3,3,0.00040862625473722663,0.35,0.7150959457901466,0.7150959457901466,1.0,0.0,0.0,0.0,0.7150959457901466,0.0,0.0,0.0,0.0,promote_candidate,True,False,-9.51306027547689e-05,-0.00012110375687689038,-6.387978161735698e-05,1.0,-0.0069901621214426,promote_candidate,True,-9.51306027547689e-05,-0.00012110375687689038,-6.387978161735698e-05,1.0,26,0.6923076923076923,0.8076923076923077,0.23076923076923078,0.5,0.8333333333333334,1.0,0.5,1.0,0.8333333333333334,1.0,False,blocked_by_human_ready_lift_nulls
submission_e314_humanready_single_rank2_k8_w26_0_ed9b6ac1.csv,analysis_outputs/submission_e314_humanready_single_rank2_k8_w26_0_ed9b6ac1.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_03ccfe02.csv,26.0,3,3,0.00040862625473722663,0.35,0.7150959457901466,0.7150959457901466,1.0,0.0,0.0,0.0,0.7150959457901466,0.0,0.0,0.0,0.0,promote_candidate,True,False,-9.51306027547689e-05,-0.00012110375687689038,-6.387978161735698e-05,1.0,-0.0069901621214426,promote_candidate,True,-9.51306027547689e-05,-0.00012110375687689038,-6.387978161735698e-05,1.0,26,0.6923076923076923,0.7307692307692307,0.23076923076923078,0.3333333333333333,0.8333333333333334,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,False,blocked_by_human_ready_lift_nulls
submission_e314_humanready_single_rank1_k3_w26_0_59e818a4.csv,analysis_outputs/submission_e314_humanready_single_rank1_k3_w26_0_59e818a4.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,26.0,3,3,0.0005452343956728984,0.35,0.9541601924275722,0.9541601924275722,1.0,0.0,0.0,0.0,0.9541601924275722,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.0001427124907642061,-0.00018279314230976136,-8.761621175211215e-05,1.0,-0.008428006542722855,promote_candidate,True,-0.0001427124907642061,-0.00018279314230976136,-8.761621175211215e-05,1.0,26,0.7307692307692307,0.7307692307692307,0.23076923076923078,0.5,0.8333333333333334,1.0,0.6666666666666666,1.0,0.5,0.8333333333333334,False,blocked_by_human_ready_lift_nulls
submission_e314_humanready_single_rank1_k12_w26_0_59e818a4.csv,analysis_outputs/submission_e314_humanready_single_rank1_k12_w26_0_59e818a4.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,26.0,3,3,0.0005452343956728984,0.35,0.9541601924275722,0.9541601924275722,1.0,0.0,0.0,0.0,0.9541601924275722,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.0001427124907642061,-0.00018279314230976136,-8.761621175211215e-05,1.0,-0.008428006542722855,promote_candidate,True,-0.0001427124907642061,-0.00018279314230976136,-8.761621175211215e-05,1.0,26,0.7307692307692307,0.6923076923076923,0.15384615384615385,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,0.6666666666666666,0.8333333333333334,False,blocked_by_human_ready_lift_nulls
submission_e314_humanready_single_rank1_kall_w18_0_b333d023.csv,analysis_outputs/submission_e314_humanready_single_rank1_kall_w18_0_b333d023.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,18.0,3,3,0.0004527587317008718,0.35,0.7923277804765256,0.7923277804765256,1.0,0.0,0.0,0.0,0.7923277804765256,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011052273361235166,-0.00014102773667082748,-7.169616395803447e-05,1.0,-0.007444837078021682,promote_candidate,True,-0.00011052273361235166,-0.00014102773667082748,-7.169616395803447e-05,1.0,26,0.7307692307692307,0.7307692307692307,0.23076923076923078,0.3333333333333333,0.8333333333333334,1.0,0.3333333333333333,1.0,0.8333333333333334,0.8333333333333334,False,blocked_by_human_ready_lift_nulls
submission_e314_humanready_single_rank1_k5_w18_0_b333d023.csv,analysis_outputs/submission_e314_humanready_single_rank1_k5_w18_0_b333d023.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,18.0,3,3,0.0004527587317008718,0.35,0.7923277804765256,0.7923277804765256,1.0,0.0,0.0,0.0,0.7923277804765256,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011052273361235166,-0.00014102773667082748,-7.169616395803447e-05,1.0,-0.007444837078021682,promote_candidate,True,-0.00011052273361235166,-0.00014102773667082748,-7.169616395803447e-05,1.0,26,0.7307692307692307,0.6538461538461539,0.19230769230769232,0.16666666666666666,0.8333333333333334,1.0,0.16666666666666666,1.0,0.6666666666666666,0.8333333333333334,False,blocked_by_human_ready_lift_nulls
submission_e314_humanready_single_rank7_k8_w26_0_d5dd85d8.csv,analysis_outputs/submission_e314_humanready_single_rank7_k8_w26_0_d5dd85d8.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_swap_low_high_top3_80ab918c.csv,26.0,6,6,0.0007005190834450602,0.35,1.2259083960288555,0.8526578647732591,1.0,0.0,0.0,0.0,1.2259083960288555,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011797151161518443,-0.00015134021723921696,-7.156697009767854e-05,1.0,-0.007292245869133379,promote_candidate,True,-0.00011797151161518443,-0.00015134021723921696,-7.156697009767854e-05,1.0,26,0.7307692307692307,0.5,0.23076923076923078,0.16666666666666666,0.5,1.0,0.16666666666666666,1.0,0.3333333333333333,0.8333333333333334,False,blocked_by_human_ready_lift_nulls
submission_e314_humanready_single_rank1_kall_w26_0_59e818a4.csv,analysis_outputs/submission_e314_humanready_single_rank1_kall_w26_0_59e818a4.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,26.0,3,3,0.0005452343956728984,0.35,0.9541601924275722,0.9541601924275722,1.0,0.0,0.0,0.0,0.9541601924275722,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.0001427124907642061,-0.00018279314230976136,-8.761621175211215e-05,1.0,-0.008428006542722855,promote_candidate,True,-0.0001427124907642061,-0.00018279314230976136,-8.761621175211215e-05,1.0,26,0.7692307692307693,0.6153846153846154,0.19230769230769232,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,False,blocked_by_human_ready_lift_nulls
submission_e314_humanready_single_rank2_k5_w26_0_ed9b6ac1.csv,analysis_outputs/submission_e314_humanready_single_rank2_k5_w26_0_ed9b6ac1.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_03ccfe02.csv,26.0,3,3,0.00040862625473722663,0.35,0.7150959457901466,0.7150959457901466,1.0,0.0,0.0,0.0,0.7150959457901466,0.0,0.0,0.0,0.0,promote_candidate,True,False,-9.51306027547689e-05,-0.00012110375687689038,-6.387978161735698e-05,1.0,-0.0069901621214426,promote_candidate,True,-9.51306027547689e-05,-0.00012110375687689038,-6.387978161735698e-05,1.0,26,0.7692307692307693,0.7307692307692307,0.23076923076923078,0.6666666666666666,0.8333333333333334,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,False,blocked_by_human_ready_lift_nulls
submission_e314_humanready_single_rank2_k20_w26_0_ed9b6ac1.csv,analysis_outputs/submission_e314_humanready_single_rank2_k20_w26_0_ed9b6ac1.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_03ccfe02.csv,26.0,3,3,0.00040862625473722663,0.35,0.7150959457901466,0.7150959457901466,1.0,0.0,0.0,0.0,0.7150959457901466,0.0,0.0,0.0,0.0,promote_candidate,True,False,-9.51306027547689e-05,-0.00012110375687689038,-6.387978161735698e-05,1.0,-0.0069901621214426,promote_candidate,True,-9.51306027547689e-05,-0.00012110375687689038,-6.387978161735698e-05,1.0,26,0.7692307692307693,0.5,0.19230769230769232,0.0,0.6666666666666666,1.0,0.0,1.0,0.5,0.6666666666666666,False,blocked_by_human_ready_lift_nulls
submission_e314_humanready_single_rank2_k3_w26_0_ed9b6ac1.csv,analysis_outputs/submission_e314_humanready_single_rank2_k3_w26_0_ed9b6ac1.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_03ccfe02.csv,26.0,3,3,0.00040862625473722663,0.35,0.7150959457901466,0.7150959457901466,1.0,0.0,0.0,0.0,0.7150959457901466,0.0,0.0,0.0,0.0,promote_candidate,True,False,-9.51306027547689e-05,-0.00012110375687689038,-6.387978161735698e-05,1.0,-0.0069901621214426,promote_candidate,True,-9.51306027547689e-05,-0.00012110375687689038,-6.387978161735698e-05,1.0,26,0.8076923076923077,0.6153846153846154,0.15384615384615385,0.16666666666666666,0.8333333333333334,1.0,0.16666666666666666,1.0,0.8333333333333334,0.5,False,blocked_by_human_ready_lift_nulls
submission_e314_humanready_single_rank1_k8_w8_0_aa0e9343.csv,analysis_outputs/submission_e314_humanready_single_rank1_k8_w8_0_aa0e9343.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,8.0,3,3,0.00026923690155279814,0.2745744530611631,0.4711645777173967,0.4711645777173967,1.0,0.0,0.0,0.0,0.4711645777173967,0.0,0.0,0.0,0.0,too_small_to_submit,False,True,-5.055784893057361e-05,-6.288294963522911e-05,-3.502413878428922e-05,1.0,-0.0049549463110666325,too_small_to_submit,False,-5.055784893057361e-05,-6.288294963522911e-05,-3.502413878428922e-05,1.0,26,0.0,0.5,0.3076923076923077,0.0,0.8333333333333334,1.0,0.0,1.0,0.0,1.0,False,too_small_to_submit
