basename,source_path,candidate_id,target_task,feature_set,model,score_variant,action,k,undo_count,add_count,undo_fraction,add_fraction,latent_health_score,min_auc,mean_auc,min_ap_lift,source_transfer_auc,old_promotion_decision,old_strict_promote,actual_mean,actual_p10,actual_p90,actual_beats_current_rate,incremental_bad_axis_vs_current,null_count,null_strict_rate,p90_dominance,mean_dominance,worst_mode_p90_dominance,matched_placebo_gate,public_lb_if_known,known_public_worse_than_current,public_free_submission_ready,final_decision,null_p90_q20,null_p90_median,null_p90_best,dateblock_p90_dominance,dateblock_null_strict_rate,row_p90_dominance,row_null_strict_rate,subject_p90_dominance,subject_null_strict_rate
submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l1_c0p2_anti_amp_ctrl_add_low_preserve_top5_d8b9a2d7.csv,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l1_c0p2_anti_amp_ctrl_add_low_preserve_top5_d8b9a2d7.csv,e247_body_vs_clean_cell_geometry_lr_l1_c0p2_anti_amp_ctrl_add_low_preserve_top5,e247_body_vs_clean_neither,cell_geometry,lr_l1_c0p22,anti_amp,ctrl_add_low_preserve,5,0,5,0.0,0.2,1.6357610519041557,0.9974738361602309,0.9977745699506796,0.8163303333571659,0.5,too_small_to_submit,False,-8.784449058896192e-06,-1.3728530857036423e-05,-4.493139560518299e-06,0.9705882352941176,-0.0012235768298700656,21,0.0,0.047619047619047616,0.047619047619047616,0.0,False,,False,False,too_small_to_submit,-1.1648506158446336e-05,-1.049814462093226e-05,-1.2445183463695877e-05,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l2_c0p3_raw_ctrl_add_low_preserve_top5_0d148e41.csv,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l2_c0p3_raw_ctrl_add_low_preserve_top5_0d148e41.csv,e247_body_vs_clean_cell_geometry_lr_l2_c0p3_raw_ctrl_add_low_preserve_top5,e247_body_vs_clean_neither,cell_geometry,lr_l2_c0p35,raw,ctrl_add_low_preserve,5,0,5,0.0,0.2,1.6402643669056296,0.9989173583543846,0.9993985324191025,0.8227753765447195,0.46153846153846156,too_small_to_submit,False,-6.6143805178602e-06,-8.682521099963868e-06,-4.3844341506993116e-06,1.0,-0.000975033698893929,21,0.0,0.09523809523809523,0.09523809523809523,0.0,False,,False,False,too_small_to_submit,-7.731886501759783e-06,-7.451702457631315e-06,-8.20662321965744e-06,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
submission_e286_e247contrast_e247_body_vs_clean_human_plus_oldlaw__lr_l1_c0p2_raw_ctrl_add_low_preserve_top5_36eee8bc.csv,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_human_plus_oldlaw__lr_l1_c0p2_raw_ctrl_add_low_preserve_top5_36eee8bc.csv,e247_body_vs_clean_human_plus_oldlaw__lr_l1_c0p2_raw_ctrl_add_low_preserve_top5,e247_body_vs_clean_neither,human_plus_oldlaw_context,lr_l1_c0p22,raw,ctrl_add_low_preserve,5,0,5,0.0,0.2,1.6379937728677048,0.9974738361602309,0.9978948634668591,0.8160718855555242,0.5192307692307693,too_small_to_submit,False,-5.921966616302087e-06,-7.319460775346573e-06,-4.041416215693369e-06,1.0,-0.00036403705720255974,21,0.0,0.047619047619047616,0.047619047619047616,0.0,False,,False,False,too_small_to_submit,-5.39713799472939e-06,-5.158338917686129e-06,-5.8490895391581435e-06,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l2_c0p3_smooth_weighted_ctrl_add_low_preserve_top5_27ab2576.csv,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l2_c0p3_smooth_weighted_ctrl_add_low_preserve_top5_27ab2576.csv,e247_body_vs_clean_cell_geometry_lr_l2_c0p3_smooth_weighted_ctrl_add_low_preserve_top5,e247_body_vs_clean_neither,cell_geometry,lr_l2_c0p35,smooth_weighted,ctrl_add_low_preserve,5,0,5,0.0,0.2,1.6402643669056296,0.9989173583543846,0.9993985324191025,0.8227753765447195,0.46153846153846156,too_small_to_submit,False,-6.227485215777583e-06,-8.59382094513479e-06,-3.897806541310514e-06,1.0,-0.0011098757968944217,21,0.0,0.047619047619047616,0.0,0.0,False,,False,False,too_small_to_submit,-7.800147913208837e-06,-6.376119152003098e-06,-8.951444973684077e-06,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top5_47be80e7.csv,analysis_outputs/submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top5_47be80e7.csv,e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top5,e247_only_vs_e256_only,human_social,lr_l2_c0p35,smooth_weighted,add_high_preserve,5,0,5,0.0,0.35,0.9292945942945944,0.7142857142857143,0.7747252747252747,0.16046176046176053,0.17307692307692307,too_small_to_submit,False,-5.803771193451682e-06,-7.616644928945744e-06,-3.8482450484238136e-06,1.0,-0.0002913104993223503,21,0.0,0.09523809523809523,0.09523809523809523,0.0,False,,False,False,too_small_to_submit,-5.702510052579798e-06,-5.298375830006781e-06,-6.459541354217269e-06,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0
submission_e286_e247contrast_e247_body_vs_clean_human_plus_oldlaw__lr_l1_c0p2_anti_amp_ctrl_add_low_preserve_top5_2bbef3bb.csv,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_human_plus_oldlaw__lr_l1_c0p2_anti_amp_ctrl_add_low_preserve_top5_2bbef3bb.csv,e247_body_vs_clean_human_plus_oldlaw__lr_l1_c0p2_anti_amp_ctrl_add_low_preserve_top5,e247_body_vs_clean_neither,human_plus_oldlaw_context,lr_l1_c0p22,anti_amp,ctrl_add_low_preserve,5,0,5,0.0,0.2,1.6379937728677048,0.9974738361602309,0.9978948634668591,0.8160718855555242,0.5192307692307693,too_small_to_submit,False,-7.191957583573359e-06,-1.1295690084070694e-05,-3.538267241933191e-06,0.9705882352941176,-0.001240553956746826,21,0.0,0.0,0.0,0.0,False,,False,False,too_small_to_submit,-1.0227656566433444e-05,-9.168045106986718e-06,-1.1565103630367193e-05,0.0,0.0,0.0,0.0,0.0,0.0
submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l2_c0p3_smooth_weighted_ctrl_add_low_preserve_top3_67c7d752.csv,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l2_c0p3_smooth_weighted_ctrl_add_low_preserve_top3_67c7d752.csv,e247_body_vs_clean_cell_geometry_lr_l2_c0p3_smooth_weighted_ctrl_add_low_preserve_top3,e247_body_vs_clean_neither,cell_geometry,lr_l2_c0p35,smooth_weighted,ctrl_add_low_preserve,3,0,3,0.0,0.2,1.6402643669056296,0.9989173583543846,0.9993985324191025,0.8227753765447195,0.46153846153846156,too_small_to_submit,False,-4.857012616218415e-06,-6.186635775683781e-06,-3.2351964156467454e-06,1.0,-0.00025569249173981734,21,0.0,0.5238095238095238,0.42857142857142855,0.14285714285714285,False,,False,False,too_small_to_submit,-3.372336266593709e-06,-3.203905729499674e-06,-4.003305057562218e-06,0.7142857142857143,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0
submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,analysis_outputs/submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3,e247_common_vs_e284_extra,human_plus_geometry,lr_l2_c0p35,anti_amp,add_high_preserve,3,0,3,0.0,0.35,1.5273353078463352,0.9771428571428571,0.9844620811287478,0.6216923260532283,0.48076923076923084,too_small_to_submit,False,-4.906552396210426e-06,-6.599738501394868e-06,-3.162831074790456e-06,1.0,-0.0006193682888833152,21,0.0,0.14285714285714285,0.14285714285714285,0.0,False,,False,False,too_small_to_submit,-5.504350366413603e-06,-4.62630812319867e-06,-5.7763726216349325e-06,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0
submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top3_229be73c.csv,analysis_outputs/submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top3_229be73c.csv,e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top3,e247_only_vs_e256_only,human_social,lr_l2_c0p35,smooth_weighted,add_high_preserve,3,0,3,0.0,0.35,0.9292945942945944,0.7142857142857143,0.7747252747252747,0.16046176046176053,0.17307692307692307,too_small_to_submit,False,-4.4562140722175655e-06,-5.564229663753685e-06,-3.121312925466644e-06,1.0,-0.00019101980963637244,21,0.0,0.23809523809523808,0.19047619047619047,0.14285714285714285,False,,False,False,too_small_to_submit,-4.21277435519883e-06,-3.7144851684444544e-06,-4.379702211426102e-06,0.2857142857142857,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0
submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_anti_amp_add_high_preserve_top3_18f9379b.csv,analysis_outputs/submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_anti_amp_add_high_preserve_top3_18f9379b.csv,e247_only_vs_e256__human_social_lr_l2_c0p3_anti_amp_add_high_preserve_top3,e247_only_vs_e256_only,human_social,lr_l2_c0p35,anti_amp,add_high_preserve,3,0,3,0.0,0.35,0.9292945942945944,0.7142857142857143,0.7747252747252747,0.16046176046176053,0.17307692307692307,too_small_to_submit,False,-4.434575000308268e-06,-5.469557885565774e-06,-2.9994125537666696e-06,1.0,-0.00012974580811994652,21,0.0,0.2857142857142857,0.23809523809523808,0.14285714285714285,False,,False,False,too_small_to_submit,-3.799456426942388e-06,-3.0817323922825908e-06,-4.001964320261727e-06,0.14285714285714285,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0
