fold,target,feature,mode,c_value,weight,inner_delta,holdout_base_loss,holdout_candidate_loss,holdout_delta
geom_r00,Q1,deep__phone_screen_m_screen_use_afternoon_count,subject_z,0.5,0.45,-0.01436640683322421,0.5764285061218197,0.5865226050669543,0.010094098945134578
geom_r00,Q2,deep__usage_early_usage_kw_home_time_sum,subject_z,0.5,0.45,-0.01506272703480227,0.6486596904054214,0.6621067267752874,0.013447036369865994
geom_r00,Q3,deep__phone_charge_m_charging_morning_std,subject_center,0.2,0.45,-0.00932911752650456,0.5979084380165228,0.6045367918911837,0.006628353874660875
geom_r00,S1,deep__ambience_afternoon_hour_sum,subject_rank,0.5,0.45,-0.008570035002712417,0.45691436164601373,0.4686016412113696,0.011687279565355868
geom_r00,S2,quiet__quiet_w23_32_screen_dur,subject_z,0.5,0.45,-0.008429104242238306,0.5124127190466414,0.5243879330020759,0.011975213955434438
geom_r00,S3,deep__watch_pedo_burned_calories_all_max,subject_rank,0.5,0.45,-0.005192125863394403,0.5306194636645225,0.5352458611231339,0.004626397458611375
geom_r00,S4,deep__phone_activity_m_activity_late_sum,subject_z,0.5,0.45,-0.012169399212995313,0.6000713748865832,0.598416538911639,-0.001654835974944202
geom_r01,Q1,deep__watch_light_w_light_all_log_mean,subject_z,0.5,0.45,-0.0193409200528859,0.6137111990393667,0.6245730875138829,0.01086188847451619
geom_r01,Q2,deep__phone_screen_m_screen_use_afternoon_mean,global_z,0.5,0.45,-0.014513418573814718,0.646476066480404,0.6556005507897767,0.009124484309372738
geom_r01,Q3,deep__ble_morning_unique_max,subject_rank,0.5,0.45,-0.016251621674891248,0.5973695113575288,0.6041568198895919,0.006787308532063108
geom_r01,S1,deep__watch_light_w_light_all_median,subject_z,0.5,0.45,-0.008887828677493825,0.5485228760602553,0.563088552761499,0.014565676701243757
geom_r01,S2,quiet__quiet_w23_32_screen_step_dur,global_z,0.5,0.45,-0.011793858422844083,0.4917554355968546,0.5137983507503409,0.022042915153486276
geom_r01,S3,deep__phone_light_m_light_late_std,subject_center,0.5,0.45,-0.009610464994588286,0.5115918939789844,0.5204455572654006,0.008853663286416236
geom_r01,S4,deep__phone_light_m_light_evening_log_mean,subject_center,0.5,0.45,-0.011996750967730452,0.6276694465941085,0.6337670253066243,0.0060975787125158165
geom_r02,Q1,deep__phone_activity_m_activity_afternoon_count,subject_rank,0.5,0.45,-0.01698208566483872,0.5798315702218233,0.5824173096590857,0.0025857394372623688
geom_r02,Q2,deep__phone_charge_m_charging_morning_mean,subject_z,0.5,0.45,-0.0086226306344509,0.6569701984857776,0.669313029118858,0.012342830633080393
geom_r02,Q3,deep__phone_light_m_light_all_max,subject_z,0.2,0.45,-0.017497175037390678,0.6257775455258127,0.6481617008606372,0.022384155334824518
geom_r02,S1,deep__ambience_afternoon_hour_count,global_z,0.5,0.45,-0.006673129874685324,0.485409399096999,0.4898621082546428,0.0044527091576438416
geom_r02,S2,deep__usage_all_time_sum_max,global_z,0.5,0.45,-0.007891993812175202,0.4956002108813994,0.5033675092103304,0.007767298328930972
geom_r02,S3,deep__hr_morning_rows,subject_z,0.5,0.45,-0.007577891063200393,0.500192958617504,0.49951393032981983,-0.0006790282876841802
geom_r02,S4,deep__hr_morning_mean,subject_rank,0.5,0.45,-0.010046484718442383,0.6366299147903259,0.6489970588048893,0.012367144014563403
