experiment,target_norm,family,outcome_quadrant,n,ready_like,selector_visible,null_rare,best_actual_p90,best_actual_mean,median_null_strict_rate,best_p90_dominance,best_mean_dominance,best_worst_mode_dominance,min_readiness_distance
e291,S4,S4_raw_human_context_dateblock5_cluster6_subject_weekday_strong35_subject_cv,visible_but_null_common,2,0,2,0,-0.0001728452033973,-0.00053826963928,1.0,0.6,0.4666666666666667,0.2,1.6833333333333336
e292,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_contrast_half_bf70,visible_but_null_common,2,0,2,0,-0.0001566791533376,-0.0002287240259978,1.0,0.8,0.4666666666666667,0.6,1.1333333333333333
e292,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_rarity_half_bf70,visible_but_null_common,2,0,2,0,-0.0001447375518407,-0.0002194694848221,1.0,0.9333333333333332,0.6,0.8,1.0
e290,Q3,Q3_raw_human_context_subject5_pc_strong35_subject5_hgb_shallow,visible_but_null_common,2,0,2,0,-0.0001427221112114,-0.0002682147429559,1.0,0.2,0.4666666666666667,0.0,2.283333333333333
e292,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf70,visible_but_null_common,2,0,2,0,-0.0001259826889802,-0.0004321149600618,0.9333333333333333,0.9333333333333332,0.5333333333333333,0.8,0.9333333333333333
e292,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_contrast_third_bf70,visible_but_null_common,2,0,2,0,-0.0001060936222322,-0.0001596551222854,0.9333333333333333,0.4,0.4,0.4,1.75
e292,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_dateblock_cv_contrast_half_bf70,visible_but_null_common,1,0,1,0,-0.0001096325355268,-0.0003738722097704,1.0,0.9333333333333332,0.5333333333333333,0.8,1.0666666666666667
e292,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf50,visible_but_null_common,1,0,1,0,-8.826914250810859e-05,-0.0003166546659546,1.0,0.8,0.6,0.6,1.0
e292,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_base_lowmax25_bf70,visible_but_null_common,1,0,1,0,-8.704507493430096e-05,-0.0001353427726607,1.0,0.7333333333333333,0.4,0.4,1.4166666666666665
e292,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_base_lowmax35_bf70,visible_but_null_common,1,0,1,0,-8.704507493430096e-05,-0.0001353427726607,1.0,0.8666666666666667,0.5333333333333333,0.8,1.0666666666666667
e292,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_base_lowmax50_bf70,visible_but_null_common,1,0,1,0,-8.704507493430096e-05,-0.0001353427726607,1.0,0.6666666666666666,0.2666666666666666,0.4,1.6166666666666667
e292,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_third_bf70,visible_but_null_common,1,0,1,0,-8.310071927662771e-05,-0.0002979018443176,1.0,0.4666666666666667,0.9333333333333332,0.0,1.7833333333333334
e292,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_contrast_half_bf35,visible_but_null_common,1,0,1,0,-7.570304060276237e-05,-0.0002595699147779,1.0,0.6,0.4666666666666667,0.4,1.4833333333333334
e292,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_dateblock_cv_rarity_third_bf70,visible_but_null_common,1,0,1,0,-7.080913831806004e-05,-0.0003283613460971,1.0,0.2,0.9333333333333332,0.0,2.05
e292,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_base_lowmax35_bf70,visible_but_null_not_rare,1,0,1,0,-5.258217398978411e-05,-0.000165051665852,0.1333333333333333,0.8666666666666667,0.4666666666666667,0.6,0.2666666666666666
e292,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_dateblock_cv_contrast_half_bf70,visible_but_null_not_rare,1,0,1,0,-5.143677301359792e-05,-0.0001935691077546,0.2,1.0,0.4,1.0,0.3999999999999999
e286,e247_only_vs_e256_only,human_social,null_rare_but_no_selector_edge,126,0,0,126,-3.8482450484238136e-06,-8.521269665340553e-06,0.0,1.0,1.0,1.0,0.5547375243822492
e286,e247_body_vs_clean_neither,human_plus_oldlaw_context,null_rare_but_no_selector_edge,115,0,0,115,-4.041416215693369e-06,-7.191957583573359e-06,0.0,1.0,1.0,1.0,0.5621825936561258
e286,e247_body_vs_clean_neither,cell_geometry,null_rare_but_no_selector_edge,104,0,0,104,-4.493139560518299e-06,-8.784449058896192e-06,0.0,1.0,1.0,1.0,0.5532729307587643
e286,e247_common_vs_e284_extra,human_plus_geometry,null_rare_but_no_selector_edge,83,0,0,83,-3.162831074790456e-06,-6.781533611458333e-06,0.0,1.0,1.0,1.0,0.5616726848216048
e286,e247_body_vs_clean_neither,human_plus_geometry,null_rare_but_no_selector_edge,68,0,0,68,-2.8508459616272267e-06,-5.761689502603243e-06,0.0,1.0,1.0,1.0,0.5663190254709005
e279,multi,unknown,null_rare_but_no_selector_edge,46,0,0,46,-2.6448964026809357e-05,-6.920644870148871e-05,0.0,1.0,1.0,1.0,0.5475403942248959
e285,multi,human_boundary_control,null_rare_but_no_selector_edge,46,0,0,46,-9.015364520983188e-07,-2.0072685733198787e-06,0.0,1.0,1.0,1.0,0.5546897345790132
e285,multi,e247_undo_rank,null_rare_but_no_selector_edge,42,0,0,42,1.3733185690570036e-06,6.717716190333999e-07,0.0,1.0,1.0,1.0,0.551373318569057
e286,e247_common_vs_e284_extra,cell_geometry,null_rare_but_no_selector_edge,37,0,0,37,-1.1807806671328932e-06,-2.458523077498867e-06,0.0,1.0,1.0,1.0,0.5506300837348936
e285,multi,human_boundary_undo,null_rare_but_no_selector_edge,36,0,0,36,2.7653334997707166e-06,-1.092627274656866e-06,0.0,0.9523809523809524,1.0,0.8571428571428571,0.5527653334997708
e285,multi,human_boundary_add,null_rare_but_no_selector_edge,22,0,0,22,-3.480541969471926e-06,-5.782802394515219e-06,0.0,0.9523809523809524,0.8095238095238095,0.8571428571428571,0.546519458030528
e293,multi,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,null_rare_but_no_selector_edge,14,0,0,14,-4.442209756288349e-05,-0.0001775232478367,0.0,1.0,0.4761904761904761,1.0,0.7823365639037513
e285,multi,membership_control,null_rare_but_no_selector_edge,12,0,0,12,6.303806187241013e-06,2.6966730537932395e-06,0.0,0.9523809523809524,1.0,0.8571428571428571,0.5851860009577735
e291,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,null_rare_but_no_selector_edge,10,0,0,10,-4.634094614540992e-05,-0.0001586422577319,0.0,0.7333333333333333,0.6666666666666666,0.6,1.0703257205212569
e297,S1,routine_fragmentation,null_rare_but_no_selector_edge,6,0,0,6,-4.887624306160008e-05,-0.0005707996636045,0.0714285714285714,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.5011237569384
e297,S1,bedtime_arousal,null_rare_but_no_selector_edge,5,0,0,5,-4.7298505258405224e-05,-0.0004991964843581,0.0,0.9047619047619048,0.5238095238095238,0.7142857142857143,0.7195840769160209
e284,risk,hgb_shallow,null_rare_but_no_selector_edge,5,0,0,5,2.522348360717347e-05,1.4956756275471176e-05,0.0,0.4444444444444444,0.5185185185185185,0.3333333333333333,1.5886701386837945
e292,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_third_bf50,null_rare_but_no_selector_edge,4,0,0,4,-3.828977255732864e-05,-0.0001464814660646,0.0,0.7333333333333333,1.0,0.4,0.8043124547194916
e290,Q3,Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow,null_rare_but_no_selector_edge,4,0,0,4,-2.923243482979808e-05,-5.56075963420436e-05,0.0,0.6,0.3333333333333333,0.0,1.6655273521555019
e289,Q3,raw_human_context,null_rare_but_no_selector_edge,4,0,0,4,6.975057408712247e-05,2.7553580666918315e-05,0.0,0.8666666666666667,0.8666666666666667,0.8,0.7868499462906
e291,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv,null_rare_but_no_selector_edge,4,0,0,4,0.0001205826955243,6.969815227410132e-05,0.0,0.4,0.4666666666666667,0.0,1.9392114066063333
e284,contrast,hgb_shallow,null_rare_but_no_selector_edge,4,0,0,4,0.0001489001564747,9.436243850215875e-05,0.0,0.8518518518518519,0.8888888888888888,0.6666666666666666,0.6989001564746999
e289,Q3,family_jepa_context,null_rare_but_no_selector_edge,4,0,0,4,0.0001603697621337,0.0001276713389874,0.0,0.8,0.8,0.6,0.7930993234523
e292,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_base_lowmax25_bf70,null_rare_but_no_selector_edge,3,0,0,3,-4.36309711142748e-05,-6.674803833115945e-05,0.0,0.9333333333333332,0.6,0.8,0.6063690288857252
e292,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_base_lowmax35_bf70,null_rare_but_no_selector_edge,3,0,0,3,-4.36309711142748e-05,-6.674803833115945e-05,0.0,0.8666666666666667,0.6666666666666666,0.8,0.5397023622190585
e292,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_base_lowmax50_bf70,null_rare_but_no_selector_edge,3,0,0,3,-4.36309711142748e-05,-6.674803833115945e-05,0.0,0.8666666666666667,0.6,0.8,0.6063690288857252
e292,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf50,null_rare_but_no_selector_edge,3,0,0,3,-4.0446014788980464e-05,-0.0001639854295939,0.0,0.5333333333333333,0.6666666666666666,0.4,0.9595539852110195
e292,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_third_bf70,null_rare_but_no_selector_edge,3,0,0,3,-3.852390275362495e-05,-0.0001540095241956,0.0,0.6666666666666666,0.5333333333333333,0.4,0.9614760972463752
e292,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_contrast_half_bf35,null_rare_but_no_selector_edge,3,0,0,3,-3.639716191399325e-05,-0.0001328114294154,0.0,0.8666666666666667,0.3333333333333333,0.8,0.8802695047526734
e292,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_dateblock_cv_rarity_third_bf70,null_rare_but_no_selector_edge,3,0,0,3,-3.121012931888009e-05,-0.0001672364624936,0.0,0.3333333333333333,0.6,0.2,1.4354565373477866
e292,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_base_lowmax35_bf70,null_rare_but_no_selector_edge,3,0,0,3,-2.553623528378361e-05,-8.382233150710205e-05,0.0,0.9333333333333332,0.6666666666666666,0.8,0.691130431382883
e290,Q3,Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1,null_rare_but_no_selector_edge,3,0,0,3,-2.446351815340473e-05,-6.963115028681596e-05,0.0,0.2,0.8,0.0,1.742203148513262
e289,S1,raw_human_context,null_rare_but_no_selector_edge,3,0,0,3,1.036883730957514e-05,-0.0003889683021199,0.0,0.6,0.6,0.6,0.862819472542889
e297,S3,routine_fragmentation,null_rare_but_no_selector_edge,2,0,0,2,7.148351782138309e-07,-3.3181923173303366e-05,0.0,0.5238095238095238,0.8571428571428571,0.2857142857142857,1.0911910256544044
e297,S3,bedtime_arousal,null_rare_but_no_selector_edge,2,0,0,2,2.6271579635454825e-06,-4.183393382078924e-05,0.0,0.1904761904761904,0.9047619047619048,0.0,1.7121509674873552
e297,S2,routine_anchor_recovery,null_rare_but_no_selector_edge,2,0,0,2,5.9402168885913075e-06,-7.262494634068758e-05,0.0,0.8095238095238095,0.6190476190476191,0.5714285714285714,0.6368925978409722
e292,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_contrast_third_bf70,null_rare_but_no_selector_edge,2,0,0,2,3.651959771892205e-05,2.6342944843460456e-05,0.0,0.6666666666666666,0.4666666666666667,0.6,0.9840953553913752
e292,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_contrast_half_bf70,null_rare_but_no_selector_edge,2,0,0,2,4.81375624438501e-05,2.9377310435932165e-05,0.0,0.8666666666666667,0.6666666666666666,0.8,0.6314708957771834
e287,multi,mobility_q3,null_rare_but_no_selector_edge,2,0,0,2,5.152528013441894e-05,3.78693233461063e-05,0.0,0.238095238095238,0.238095238095238,0.0,2.2025051075337627
e292,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_rarity_half_bf70,null_rare_but_no_selector_edge,2,0,0,2,8.154482096940848e-05,6.345185320781667e-05,0.0,0.2,0.2,0.0,2.3373044547949
e290,Q3,Q3_family_jepa_context_dateblock5_pc_strong35_dateblock5_lr_l2,null_rare_but_no_selector_edge,2,0,0,2,8.413872220048583e-05,6.705907619722004e-05,0.0,0.4,0.5333333333333333,0.2,1.684138722200486
e292,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf70,null_rare_but_no_selector_edge,2,0,0,2,0.0001168330433493,6.730921508322855e-05,0.0,0.5333333333333333,0.5333333333333333,0.2,1.5707014909163335
e291,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv,null_rare_but_no_selector_edge,2,0,0,2,0.0001231549730509,9.367086104535131e-05,0.0,0.8,0.8,0.6,0.7823586556138
e291,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv,null_rare_but_no_selector_edge,2,0,0,2,0.0001319780932443,0.0001053630977025,0.0,0.2,0.2,0.0,2.398644759910967
e292,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_dateblock_cv_contrast_half_bf70,null_rare_but_no_selector_edge,2,0,0,2,0.0001479931549362,8.496587908893507e-05,0.0,0.3333333333333333,0.3333333333333333,0.0,2.081326488269533
e290,Q3,Q3_family_jepa_context_dateblock5_pc_strong35_dateblock5_lr_l1,null_rare_but_no_selector_edge,2,0,0,2,0.0001483125797103,0.0001186640415701,0.0,0.5333333333333333,0.5333333333333333,0.4,1.4816459130436335
e291,S4,S4_raw_human_context_dateblock5_cluster6_subject_weekday_strong35_subject_cv,null_rare_but_no_selector_edge,2,0,0,2,0.0002962262300257,0.0001713215159886,0.0,0.4,0.4,0.2,2.2019109575329
e291,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv,null_rare_but_no_selector_edge,2,0,0,2,0.0003205577230403,0.0001851930677426,0.0,0.4,0.4,0.0,2.1205577230403003
e289,S4,family_jepa_context,null_rare_but_no_selector_edge,2,0,0,2,0.0004121049061283,0.0002388662875464,0.0,0.6,0.6,0.2,1.7454382394616335
e289,S4,raw_human_context,null_rare_but_no_selector_edge,2,0,0,2,0.0004310470600394,0.000250312089135,0.0,0.5333333333333333,0.6,0.2,1.9643803933727333
e287,multi,q3_only,null_rare_but_no_selector_edge,1,0,0,1,-3.497272468265565e-05,-5.107008592066334e-05,0.0476190476190476,0.7142857142857143,0.0952380952380952,0.4285714285714285,1.3269320372221065
e290,Q3,Q3_raw_human_context_subject5_pc_strong35_subject5_hgb_shallow,null_rare_but_no_selector_edge,1,0,0,1,-2.0026326565331483e-05,-6.011193473394141e-05,0.0,0.1333333333333333,0.4666666666666667,0.0,1.9799736734346687
e293,multi,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,adverse_or_no_edge,2,0,0,0,-4.99605822630679e-05,-0.0001942253761099,0.1428571428571428,0.8571428571428571,0.4285714285714285,0.7142857142857143,0.8143251320226463
e297,S1,bedtime_arousal,adverse_or_no_edge,1,0,0,0,-4.933799009525144e-05,-0.000337060285511,0.3333333333333333,0.5714285714285714,0.4285714285714285,0.4285714285714285,1.3554239146666536
e297,S1,routine_fragmentation,adverse_or_no_edge,1,0,0,0,-4.892856397663136e-05,-0.0002153655583934,0.2857142857142857,0.6666666666666666,0.6190476190476191,0.5714285714285714,0.9010714360233687
e279,multi,unknown,adverse_or_no_edge,7,0,0,0,-4.87798391710768e-05,-0.000134969486988,0.3809523809523809,0.5238095238095238,0.3809523809523809,0.2857142857142857,1.6416963513051137
e290,Q3,Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1,adverse_or_no_edge,1,0,0,0,-4.838757270128962e-05,-0.0001557252474963,0.8666666666666667,0.0666666666666666,0.6666666666666666,0.0,2.5849457606320434
e290,Q3,Q3_raw_human_context_subject5_pc_strong35_subject5_hgb_shallow,adverse_or_no_edge,1,0,0,0,-3.833486307516751e-05,-0.0001511148324435,0.3333333333333333,0.4,0.2666666666666666,0.0,2.1283318035914993
e290,Q3,Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow,adverse_or_no_edge,1,0,0,0,-3.3653484029540527e-05,-0.0001172348621526,0.2666666666666666,0.2666666666666666,0.3333333333333333,0.0,2.133013182637126
e289,S1,raw_human_context,adverse_or_no_edge,1,0,0,0,9.58926872736722e-06,-9.039494494111247e-05,0.2666666666666666,0.4666666666666667,0.4666666666666667,0.0,1.8429226020607004
