basename,source_path,recipe,source_note,seed_count,seed_basenames,weight,nonzero_rows,nonzero_cells,mean_abs_delta,max_abs_delta,l1_delta,signed_delta_sum,q_abs_share,s_abs_share,abs_Q1,abs_Q2,abs_Q3,abs_S1,abs_S2,abs_S3,abs_S4,promotion_decision,strict_promote_gate,info_sensor_gate,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current
submission_e314_humanready_single_rank1_kall_w26_0_59e818a4.csv,analysis_outputs/submission_e314_humanready_single_rank1_kall_w26_0_59e818a4.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,26.0,3,3,0.0005452343956728984,0.35,0.9541601924275722,0.9541601924275722,1.0,0.0,0.0,0.0,0.9541601924275722,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.0001427124907642061,-0.00018279314230976136,-8.761621175211215e-05,1.0,-0.008428006542722855
submission_e314_humanready_single_rank1_k3_w26_0_59e818a4.csv,analysis_outputs/submission_e314_humanready_single_rank1_k3_w26_0_59e818a4.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,26.0,3,3,0.0005452343956728984,0.35,0.9541601924275722,0.9541601924275722,1.0,0.0,0.0,0.0,0.9541601924275722,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.0001427124907642061,-0.00018279314230976136,-8.761621175211215e-05,1.0,-0.008428006542722855
submission_e314_humanready_single_rank1_k5_w26_0_59e818a4.csv,analysis_outputs/submission_e314_humanready_single_rank1_k5_w26_0_59e818a4.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,26.0,3,3,0.0005452343956728984,0.35,0.9541601924275722,0.9541601924275722,1.0,0.0,0.0,0.0,0.9541601924275722,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.0001427124907642061,-0.00018279314230976136,-8.761621175211215e-05,1.0,-0.008428006542722855
submission_e314_humanready_single_rank1_k8_w26_0_59e818a4.csv,analysis_outputs/submission_e314_humanready_single_rank1_k8_w26_0_59e818a4.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,26.0,3,3,0.0005452343956728984,0.35,0.9541601924275722,0.9541601924275722,1.0,0.0,0.0,0.0,0.9541601924275722,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.0001427124907642061,-0.00018279314230976136,-8.761621175211215e-05,1.0,-0.008428006542722855
submission_e314_humanready_single_rank1_k12_w26_0_59e818a4.csv,analysis_outputs/submission_e314_humanready_single_rank1_k12_w26_0_59e818a4.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,26.0,3,3,0.0005452343956728984,0.35,0.9541601924275722,0.9541601924275722,1.0,0.0,0.0,0.0,0.9541601924275722,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.0001427124907642061,-0.00018279314230976136,-8.761621175211215e-05,1.0,-0.008428006542722855
submission_e314_humanready_single_rank1_k20_w26_0_59e818a4.csv,analysis_outputs/submission_e314_humanready_single_rank1_k20_w26_0_59e818a4.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,26.0,3,3,0.0005452343956728984,0.35,0.9541601924275722,0.9541601924275722,1.0,0.0,0.0,0.0,0.9541601924275722,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.0001427124907642061,-0.00018279314230976136,-8.761621175211215e-05,1.0,-0.008428006542722855
submission_e314_humanready_single_rank1_kall_w18_0_b333d023.csv,analysis_outputs/submission_e314_humanready_single_rank1_kall_w18_0_b333d023.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,18.0,3,3,0.0004527587317008718,0.35,0.7923277804765256,0.7923277804765256,1.0,0.0,0.0,0.0,0.7923277804765256,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011052273361235166,-0.00014102773667082748,-7.169616395803447e-05,1.0,-0.007444837078021682
submission_e314_humanready_single_rank1_k3_w18_0_b333d023.csv,analysis_outputs/submission_e314_humanready_single_rank1_k3_w18_0_b333d023.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,18.0,3,3,0.0004527587317008718,0.35,0.7923277804765256,0.7923277804765256,1.0,0.0,0.0,0.0,0.7923277804765256,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011052273361235166,-0.00014102773667082748,-7.169616395803447e-05,1.0,-0.007444837078021682
submission_e314_humanready_single_rank1_k5_w18_0_b333d023.csv,analysis_outputs/submission_e314_humanready_single_rank1_k5_w18_0_b333d023.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,18.0,3,3,0.0004527587317008718,0.35,0.7923277804765256,0.7923277804765256,1.0,0.0,0.0,0.0,0.7923277804765256,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011052273361235166,-0.00014102773667082748,-7.169616395803447e-05,1.0,-0.007444837078021682
submission_e314_humanready_single_rank1_k8_w18_0_b333d023.csv,analysis_outputs/submission_e314_humanready_single_rank1_k8_w18_0_b333d023.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,18.0,3,3,0.0004527587317008718,0.35,0.7923277804765256,0.7923277804765256,1.0,0.0,0.0,0.0,0.7923277804765256,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011052273361235166,-0.00014102773667082748,-7.169616395803447e-05,1.0,-0.007444837078021682
