q3_scale,s4_mode,s4_scale,target,delta,moved_abs_logit
0.75,zero,1.0,Q2,0.0,6.069122827757746e-17
0.75,zero,1.0,Q3,-0.004853731320486054,0.08765137252591529
0.75,zero,1.0,S1,0.0,3.0658442605623213e-16
0.75,zero,1.0,S2,-1.1102230246251565e-16,2.2225277174214853e-16
0.75,zero,1.0,S3,1.1102230246251565e-16,2.2486449430875807e-16
0.75,zero,1.0,S4,-1.1102230246251565e-16,1.0536710393083127e-16
1.0,raw,0.5,Q1,0.0,8.324359720054038e-17
1.0,raw,0.5,Q2,0.0,6.069122827757746e-17
1.0,raw,0.5,Q3,-0.005775312190312576,0.11686849670122039
1.0,raw,0.5,S1,0.0,3.0658442605623213e-16
1.0,raw,0.5,S2,-1.1102230246251565e-16,2.2225277174214853e-16
1.0,raw,0.5,S3,1.1102230246251565e-16,2.2486449430875807e-16
1.0,raw,0.5,S4,-0.002089319839840287,0.061404192078318924
1.0,raw,0.75,Q1,0.0,8.324359720054038e-17
1.0,raw,0.75,Q2,0.0,6.069122827757746e-17
1.0,raw,0.75,Q3,-0.005775312190312576,0.11686849670122039
1.0,raw,0.75,S1,0.0,3.0658442605623213e-16
1.0,raw,0.75,S2,-1.1102230246251565e-16,2.2225277174214853e-16
1.0,raw,0.75,S3,1.1102230246251565e-16,2.2486449430875807e-16
1.0,raw,0.75,S4,-0.0027425516558866603,0.09210628811747837
1.0,raw,1.0,Q1,0.0,8.324359720054038e-17
1.0,raw,1.0,Q2,0.0,6.069122827757746e-17
1.0,raw,1.0,Q3,-0.005775312190312576,0.11686849670122039
1.0,raw,1.0,S1,0.0,3.0658442605623213e-16
1.0,raw,1.0,S2,-1.1102230246251565e-16,2.2225277174214853e-16
1.0,raw,1.0,S3,1.1102230246251565e-16,2.2486449430875807e-16
1.0,raw,1.0,S4,-0.0031337548277784455,0.12280838415663783
1.0,toward,0.5,Q1,0.0,8.324359720054038e-17
1.0,toward,0.5,Q2,0.0,6.069122827757746e-17
1.0,toward,0.5,Q3,-0.005775312190312576,0.11686849670122039
1.0,toward,0.5,S1,0.0,3.0658442605623213e-16
1.0,toward,0.5,S2,-1.1102230246251565e-16,2.2225277174214853e-16
1.0,toward,0.5,S3,1.1102230246251565e-16,2.2486449430875807e-16
1.0,toward,0.5,S4,-0.0020075066559066546,0.03168881494381757
1.0,toward,0.75,Q1,0.0,8.324359720054038e-17
1.0,toward,0.75,Q2,0.0,6.069122827757746e-17
1.0,toward,0.75,Q3,-0.005775312190312576,0.11686849670122039
1.0,toward,0.75,S1,0.0,3.0658442605623213e-16
1.0,toward,0.75,S2,-1.1102230246251565e-16,2.2225277174214853e-16
1.0,toward,0.75,S3,1.1102230246251565e-16,2.2486449430875807e-16
1.0,toward,0.75,S4,-0.002800339326627488,0.047533222415726314
1.0,toward,1.0,Q1,0.0,8.324359720054038e-17
1.0,toward,1.0,Q2,0.0,6.069122827757746e-17
1.0,toward,1.0,Q3,-0.005775312190312576,0.11686849670122039
1.0,toward,1.0,S1,0.0,3.0658442605623213e-16
1.0,toward,1.0,S2,-1.1102230246251565e-16,2.2225277174214853e-16
1.0,toward,1.0,S3,1.1102230246251565e-16,2.2486449430875807e-16
1.0,toward,1.0,S4,-0.003450578456313913,0.06337762988763505
1.0,closer,0.5,Q1,0.0,8.324359720054038e-17
1.0,closer,0.5,Q2,0.0,6.069122827757746e-17
1.0,closer,0.5,Q3,-0.005775312190312576,0.11686849670122039
1.0,closer,0.5,S1,0.0,3.0658442605623213e-16
1.0,closer,0.5,S2,-1.1102230246251565e-16,2.2225277174214853e-16
1.0,closer,0.5,S3,1.1102230246251565e-16,2.2486449430875807e-16
1.0,closer,0.5,S4,-0.0019819325272549815,0.029837014394587986
1.0,closer,0.75,Q1,0.0,8.324359720054038e-17
1.0,closer,0.75,Q2,0.0,6.069122827757746e-17
1.0,closer,0.75,Q3,-0.005775312190312576,0.11686849670122039
1.0,closer,0.75,S1,0.0,3.0658442605623213e-16
1.0,closer,0.75,S2,-1.1102230246251565e-16,2.2225277174214853e-16
1.0,closer,0.75,S3,1.1102230246251565e-16,2.2486449430875807e-16
1.0,closer,0.75,S4,-0.0027734986070701018,0.04475552159188194
1.0,closer,1.0,Q1,0.0,8.324359720054038e-17
1.0,closer,1.0,Q2,0.0,6.069122827757746e-17
1.0,closer,1.0,Q3,-0.005775312190312576,0.11686849670122039
1.0,closer,1.0,S1,0.0,3.0658442605623213e-16
1.0,closer,1.0,S2,-1.1102230246251565e-16,2.2225277174214853e-16
1.0,closer,1.0,S3,1.1102230246251565e-16,2.2486449430875807e-16
1.0,closer,1.0,S4,-0.0034301356215395984,0.05967402878917588
1.0,soft_toward,0.5,Q1,0.0,8.324359720054038e-17
1.0,soft_toward,0.5,Q2,0.0,6.069122827757746e-17
1.0,soft_toward,0.5,Q3,-0.005775312190312576,0.11686849670122039
1.0,soft_toward,0.5,S1,0.0,3.0658442605623213e-16
1.0,soft_toward,0.5,S2,-1.1102230246251565e-16,2.2225277174214853e-16
1.0,soft_toward,0.5,S3,1.1102230246251565e-16,2.2486449430875807e-16
1.0,soft_toward,0.5,S4,-0.0017238347502233076,0.030954347454309958
1.0,soft_toward,0.75,Q1,0.0,8.324359720054038e-17
1.0,soft_toward,0.75,Q2,0.0,6.069122827757746e-17
1.0,soft_toward,0.75,Q3,-0.005775312190312576,0.11686849670122039
1.0,soft_toward,0.75,S1,0.0,3.0658442605623213e-16
1.0,soft_toward,0.75,S2,-1.1102230246251565e-16,2.2225277174214853e-16
1.0,soft_toward,0.75,S3,1.1102230246251565e-16,2.2486449430875807e-16
1.0,soft_toward,0.75,S4,-0.0024159255739913954,0.04643152118146495
1.0,soft_toward,1.0,Q1,0.0,8.324359720054038e-17
1.0,soft_toward,1.0,Q2,0.0,6.069122827757746e-17
1.0,soft_toward,1.0,Q3,-0.005775312190312576,0.11686849670122039
1.0,soft_toward,1.0,S1,0.0,3.0658442605623213e-16
1.0,soft_toward,1.0,S2,-1.1102230246251565e-16,2.2225277174214853e-16
1.0,soft_toward,1.0,S3,1.1102230246251565e-16,2.2486449430875807e-16
1.0,soft_toward,1.0,S4,-0.0029929958338393847,0.06190869490861993
1.0,anti_toward_control,0.5,Q1,0.0,8.324359720054038e-17
1.0,anti_toward_control,0.5,Q2,0.0,6.069122827757746e-17
1.0,anti_toward_control,0.5,Q3,-0.005775312190312576,0.11686849670122039
1.0,anti_toward_control,0.5,S1,0.0,3.0658442605623213e-16
1.0,anti_toward_control,0.5,S2,-1.1102230246251565e-16,2.2225277174214853e-16
1.0,anti_toward_control,0.5,S3,1.1102230246251565e-16,2.2486449430875807e-16
1.0,anti_toward_control,0.5,S4,-8.181318393374326e-05,0.029715377134501463
1.0,anti_toward_control,0.75,Q1,0.0,8.324359720054038e-17
1.0,anti_toward_control,0.75,Q2,0.0,6.069122827757746e-17
1.0,anti_toward_control,0.75,Q3,-0.005775312190312576,0.11686849670122039
1.0,anti_toward_control,0.75,S1,0.0,3.0658442605623213e-16
1.0,anti_toward_control,0.75,S2,-1.1102230246251565e-16,2.2225277174214853e-16
1.0,anti_toward_control,0.75,S3,1.1102230246251565e-16,2.2486449430875807e-16
1.0,anti_toward_control,0.75,S4,5.7787670740605535e-05,0.044573065701752165
1.0,anti_toward_control,1.0,Q1,0.0,8.324359720054038e-17
1.0,anti_toward_control,1.0,Q2,0.0,6.069122827757746e-17
1.0,anti_toward_control,1.0,Q3,-0.005775312190312576,0.11686849670122039
1.0,anti_toward_control,1.0,S1,0.0,3.0658442605623213e-16
1.0,anti_toward_control,1.0,S2,-1.1102230246251565e-16,2.2225277174214853e-16
1.0,anti_toward_control,1.0,S3,1.1102230246251565e-16,2.2486449430875807e-16
1.0,anti_toward_control,1.0,S4,0.00031682362853546753,0.059430754269002885
1.0,zero,1.0,Q1,0.0,8.324359720054038e-17
1.0,zero,1.0,Q2,0.0,6.069122827757746e-17
1.0,zero,1.0,Q3,-0.005775312190312576,0.11686849670122039
1.0,zero,1.0,S1,0.0,3.0658442605623213e-16
1.0,zero,1.0,S2,-1.1102230246251565e-16,2.2225277174214853e-16
1.0,zero,1.0,S3,1.1102230246251565e-16,2.2486449430875807e-16
1.0,zero,1.0,S4,-1.1102230246251565e-16,1.0536710393083127e-16
