policy,rollback_cells,expected_delta_focus_mean,moved_cells,moved_rows,cells_to_flip_expected,top1_over_abs_expected,cells_for_2e6_guard,cells_for_e95_edge,support_prob_swing_weighted_focus,bad_span_energy,bad_span_residual,max_bad_axis,max_bad_cos,mean_abs_logit_move_vs_e95,max_abs_logit_move_vs_e95,q2s3_share_vs_e95,cos_e154_axis,cos_e101_axis,cos_mixmin_axis,mean_delta_focus_mean,std_delta_focus_mean,p05_delta_norm_focus_mean,p95_delta_norm_focus_mean,win_rate_norm_focus_mean,e95_edge_or_better_norm_focus_mean,worse_than_e101_norm_focus_mean,worse_than_mixmin_norm_focus_mean,mean_delta_visible_mean,std_delta_visible_mean,p05_delta_norm_visible_mean,p95_delta_norm_visible_mean,win_rate_norm_visible_mean,e95_edge_or_better_norm_visible_mean,worse_than_e101_norm_visible_mean,worse_than_mixmin_norm_visible_mean,mean_delta_subject,std_delta_subject,p05_delta_norm_subject,p95_delta_norm_subject,win_rate_norm_subject,e95_edge_or_better_norm_subject,worse_than_e101_norm_subject,worse_than_mixmin_norm_subject,mean_delta_flank_mean,std_delta_flank_mean,p05_delta_norm_flank_mean,p95_delta_norm_flank_mean,win_rate_norm_flank_mean,e95_edge_or_better_norm_flank_mean,worse_than_e101_norm_flank_mean,worse_than_mixmin_norm_flank_mean,mean_delta_nearest_hard085,std_delta_nearest_hard085,p05_delta_norm_nearest_hard085,p95_delta_norm_nearest_hard085,win_rate_norm_nearest_hard085,e95_edge_or_better_norm_nearest_hard085,worse_than_e101_norm_nearest_hard085,worse_than_mixmin_norm_nearest_hard085,cos_bad_a2c8,cos_bad_raw05,cos_bad_stage2,cos_bad_ordinal,cos_bad_final9,cos_bad_e72,cos_bad_q2_bad,cos_bad_lejepa_bad,cos_bad_resid_bad,mean_keep_selected,n_keep_changed_from_e172,cos_e172_axis,delta_focus_vs_e172,delta_focus_vs_e174,delta_p95_delta_norm_visible_mean_vs_e174,delta_worse_than_e101_norm_visible_mean_vs_e174,delta_bad_span_energy_vs_e174,delta_max_bad_cos_vs_e174,delta_q2s3_share_vs_e95_vs_e174,delta_mean_abs_logit_move_vs_e95_vs_e174,broad_retained,visible_tail_guard,geometry_guard,material_vs_e172,near_e174_edge,risk_reduced_vs_e174,e176_gate,dominance_score
ablate_q2_to0p75,356,-0.00012338373455632312,904,193,33,0.04726682797560485,1,4,0.4617976069277539,0.26168707823471526,0.9651527718889781,q2_bad,0.15812632504870525,0.0008229143385317459,0.010205926073456162,0.33475279259920615,0.08833186820261626,-0.026343500065438556,-0.009782259585011815,-7.80419549248914e-05,1.7862160427304748e-05,-0.00010742259428893268,-4.866131556085013e-05,0.9999937626416872,0.9997775954332416,5.440233227238522e-07,8.647711113862755e-08,-5.0823947277839067e-05,1.6857242012269045e-05,-7.855164294211855e-05,-2.3096251613559595e-05,0.9987149435314903,0.9824284496597845,0.00019188170992223696,4.368688267941678e-05,-3.0436914668357695e-05,1.6518013176803947e-05,-5.7606628552255874e-05,-3.2672007844595113e-06,0.9673099254537341,0.8200985074725283,0.008431044253989217,0.0028066104822792592,-3.04104415425498e-05,1.5843282930761153e-05,-5.647032293403063e-05,-4.350560151068966e-06,0.9725365038327685,0.829722439751093,0.006390709370047709,0.0019518676882626096,-7.474412233672665e-05,1.4136821188955328e-05,-9.799712394294424e-05,-5.149112073050905e-05,0.9999999378967015,0.9999868971769577,1.5483287985063043e-09,9.43716216283974e-11,0.0720606610417255,0.05140463338925104,0.08534885463766016,-0.07344239043297057,0.05579933213597746,0.06162173154814549,0.15812632504870525,0.0187917760732,0.12788552109219817,0.374390243902439,75,0.9632106107039007,-1.068851278044265e-05,9.833196570429963e-07,-3.867566193847458e-07,-2.8130685736260652e-05,-0.002308983856073865,-0.005102248957610578,-0.004843868819856101,-6.035840331139897e-06,True,True,True,True,True,True,True,-0.0001232150267328516
ablate_q2_to0p65,356,-0.0001229901046108291,904,193,33,0.04741810550300094,1,4,0.46167340841754084,0.2606590604756983,0.9654309163228233,q2_bad,0.15598395395432593,0.0008205000023992899,0.010205926073456162,0.33279529063071556,0.08852236834731694,-0.026400313542573186,-0.009803356408891614,-7.800871337064743e-05,1.7821855925185838e-05,-0.00010732305772819594,-4.869436901309892e-05,0.999993987593167,0.9997826271088093,5.19336150195393e-07,8.194294032204397e-08,-5.089990749321483e-05,1.681891285150372e-05,-7.856455729839145e-05,-2.323525768803821e-05,0.9987623697059569,0.9828285769531859,0.00018289210502042685,4.1309047959181555e-05,-3.0419723246745328e-05,1.6477488963875803e-05,-5.75227807320293e-05,-3.3166657614613582e-06,0.967563935563387,0.8204154161444127,0.008320728633000263,0.002757309824296228,-3.056830308514036e-05,1.5806772968196924e-05,-5.656813093227756e-05,-4.568475238003163e-06,0.9734356729503681,0.8327920247416518,0.006113227153876966,0.001851043918624229,-7.505521904110114e-05,1.4106398748476353e-05,-9.825818018575617e-05,-5.1852257896446106e-05,0.9999999483015941,0.999988586539353,1.2517686887036916e-09,7.468203833127518e-11,0.0719552016461456,0.05127494600263278,0.08536936817444608,-0.07343291099462929,0.05603922907258492,0.0617546275121446,0.15598395395432593,0.018089504462163022,0.12661199198000797,0.3692682926829268,75,0.9644657710278249,-1.0294882834948626e-05,1.3769496025370202e-06,-5.257626938633597e-07,-3.712029063807076e-05,-0.0033370016150908177,-0.007244620051989892,-0.0068013707883466945,-8.450176463595921e-06,True,True,True,True,True,True,True,-0.00012292419856325926
ablate_q_targets_to0p75,365,-0.00012296816074228194,904,193,33,0.047426567341151825,1,4,0.46175357669700207,0.2608111425698717,0.9653898424529845,q2_bad,0.15784459039304216,0.0008205777295481162,0.010205926073456162,0.3357060068460919,0.0898459339389181,-0.02639326580436763,-0.009800739338098361,-7.797649084466541e-05,1.7825847555000165e-05,-0.00010729740084899146,-4.8655580840339355e-05,0.9999939102497509,0.9997804913522428,5.270366477683197e-07,8.327573852717762e-08,-5.090645423553493e-05,1.682364470216096e-05,-7.85788872424273e-05,-2.3234021228642553e-05,0.9987604769109645,0.9828198146126592,0.0001833200007949065,4.143278117596516e-05,-3.0422119598460673e-05,1.64827167870938e-05,-5.753377608772583e-05,-3.3104631091955204e-06,0.9675319757584564,0.8203773046832923,0.008334672470274085,0.002763547123679655,-3.060392677868707e-05,1.581256868678688e-05,-5.661328773456775e-05,-4.594565822806391e-06,0.9735304761535446,0.8332670692444424,0.006090195813543975,0.0018440292194938923,-7.509322783888888e-05,1.4110165550437864e-05,-9.830238482141232e-05,-5.188407085636544e-05,0.9999999486622482,0.9999886656726208,1.2433507556863788e-09,7.420208891772972e-11,0.0711205198192616,0.05036413858320644,0.08445979942619118,-0.07211429631452901,0.05726926637627836,0.06167198494806904,0.15784459039304216,0.018558185781487116,0.12733648134206466,0.36890243902439024,75,0.9644540214854747,-1.027293896640147e-05,1.3988934710841756e-06,-5.245262344677044e-07,-3.6692394863591105e-05,-0.0031849195209174286,-0.005383983613273663,-0.0038906545729703312,-8.372449314769615e-06,True,True,True,True,True,True,True,-0.00012281644580068558
ablate_s3_to0p75,360,-0.00012329026024882235,904,193,33,0.04730266401004797,1,4,0.46375962075235866,0.26466299057379433,0.9643409674075529,q2_bad,0.16238716441610326,0.0008199575682381237,0.010205926073456162,0.33235390848989255,0.08490809750765871,-0.02734086704967107,-0.010414491717838153,-7.78838519539699e-05,1.785303462815265e-05,-0.000107249480714177,-4.851822319376278e-05,0.9999935707515741,0.9997716130350871,5.618359950609886e-07,8.941527673833605e-08,-5.087067545026937e-05,1.6861771586126737e-05,-7.860582160053721e-05,-2.3135529300001528e-05,0.9987232288959225,0.9825238674028363,0.00019056102615422343,4.3376387623528245e-05,-3.070119755381557e-05,1.6526898819603537e-05,-5.788552701950045e-05,-3.516868088130684e-06,0.9683906504318985,0.8241351014194682,0.008099355132307862,0.0026841452982819813,-3.061079307249396e-05,1.586042437906547e-05,-5.6698869637389354e-05,-4.522716507598572e-06,0.973197260859006,0.8326452132025084,0.006214162418655134,0.0018936748675905113,-7.43386999877366e-05,1.4104125842735245e-05,-9.753792253513967e-05,-5.1139477440333545e-05,0.9999999320499795,0.999985751630865,1.6962284909993741e-09,1.0336687061851535e-10,0.0675941707624214,0.046668231922115874,0.08176645667658163,-0.07329953520181527,0.05830978104520215,0.061575980984918954,0.16238716441610326,0.01876800138425752,0.12819901121005986,0.3719512195121951,75,0.9647365611954917,-1.0595038472941876e-05,1.0767939645437699e-06,-4.260343058266788e-07,-2.9451369504274183e-05,0.0006669284830052025,-0.0008414095902125607,-0.007242752929169705,-8.99261062476211e-06,True,True,True,True,True,True,True,-0.00012258524474983258
ablate_q_targets_to0p65,365,-0.00012240821511675648,904,193,33,0.04764351600665632,1,4,0.4616110163367407,0.25938543815690096,0.9657738837182085,q2_bad,0.15556007182788742,0.0008172287498222085,0.010205926073456162,0.3341274237113899,0.09063557676204788,-0.02646649137131489,-0.009827930542849386,-7.791697750391614e-05,1.777379857084247e-05,-0.00010715227454787126,-4.868168045996101e-05,0.9999941689577092,0.999786163991454,4.985466632856372e-07,7.804336155103897e-08,-5.101533107957421e-05,1.6774448855572145e-05,-7.860684411977402e-05,-2.3423818039374394e-05,0.9988220183610791,0.9833527099653335,0.00017183613786286855,3.842904279871551e-05,-3.0398923994474628e-05,1.6430766805263702e-05,-5.7425130367706485e-05,-3.372717621242775e-06,0.9678520198593777,0.8207667106071549,0.008195786504730074,0.0027016417099583467,-3.083909626131773e-05,1.5766123643508312e-05,-5.677206191930774e-05,-4.9061306033277235e-06,0.9747695090494907,0.8376687170918677,0.005716539414779009,0.0017104236333544964,-7.554388058971351e-05,1.4071126568743802e-05,-9.868882416160497e-05,-5.2398937017822046e-05,0.9999999603503837,0.9999906814355679,9.225028518855538e-10,5.3466786553713064e-11,0.07062461146106573,0.04980641333052317,0.08410888071996825,-0.07155771959464968,0.058095335506659906,0.06181655179266782,0.15556007182788742,0.017757078341731264,0.12581941891955603,0.3615853658536585,75,0.966074486810398,-9.712993340876003e-06,1.958839096609643e-06,-7.143230451995454e-07,-4.817625779562906e-05,-0.004610623933888169,-0.007668502178428405,-0.005469237707672325,-1.1721429040677353e-05,True,True,True,True,True,True,True,-0.00012240821511675648
ablate_q2_to0p5,356,-0.00012239933611089376,904,193,33,0.047646972128816655,1,4,0.46148573411511323,0.2590065139553657,0.9658755746620206,q2_bad,0.1526655203149249,0.0008168784982006059,0.010205926073456162,0.32983734197410985,0.0887587954255062,-0.026470823958309707,-0.009829539383381275,-7.795852745758671e-05,1.7772069325025635e-05,-0.00010719098014528813,-4.872607476988529e-05,0.999994242544961,0.9997883163051868,4.914656249743743e-07,7.68466110745436e-08,-5.101352423458356e-05,1.6771565391605962e-05,-7.860029439862042e-05,-2.3426754070546706e-05,0.998823641612079,0.983363399764822,0.00017150254797748676,3.83372158916373e-05,-3.0393612532631908e-05,1.642741987338621e-05,-5.741431369282591e-05,-3.3729113724379064e-06,0.9678558826173276,0.8207310558347005,0.0081920779646385,0.0026996156858556386,-3.080477181733117e-05,1.5761671180684385e-05,-5.6730413825696374e-05,-4.879129808965963e-06,0.9746736406526305,0.8372017302085714,0.005740417657756902,0.00171786769049187,-7.552154051596773e-05,1.40688234904539e-05,-9.866269586118089e-05,-5.238038517075456e-05,0.9999999601942291,0.999990644213923,9.259459865518238e-10,5.365463628947964e-11,0.07175503317293509,0.05105010522203148,0.0853513889564551,-0.07337656188656941,0.056368715292481136,0.061919562843405475,0.1526655203149249,0.0170206443112984,0.12461994407042419,0.3615853658536585,75,0.9658051802568561,-9.704114335013287e-06,1.9677181024723594e-06,-7.172590763718569e-07,-4.8509847681010854e-05,-0.004989548135423405,-0.010563053691390933,-0.009759319444952397,-1.2071680662279903e-05,True,True,True,True,True,True,True,-0.00012239933611089376
ablate_not_top_focus25_to0p75,385,-0.00012265850310251407,904,193,33,0.047546298126492324,1,4,0.46248180706784814,0.26267612550652525,0.9648840619933983,q2_bad,0.1577839246379302,0.0008160833883442487,0.010205926073456162,0.3347176004038295,0.08809318540699583,-0.026494085420418746,-0.007685846680698461,-7.79882722070068e-05,1.776374419606122e-05,-0.00010720703127613625,-4.8769513137877336e-05,0.9999943404361632,0.9997909590468833,4.816434836518724e-07,7.514116995288589e-08,-5.108496899463993e-05,1.6763187944149696e-05,-7.865795948384375e-05,-2.351197850543611e-05,0.9988460385527221,0.9835825790301753,0.00016757320719551494,3.73492208356474e-05,-3.0488735164865396e-05,1.6416137144526882e-05,-5.749087788757322e-05,-3.486592442157571e-06,0.9683616157122873,0.8224078386981553,0.008026948754328522,0.002636189317462234,-3.090749158536476e-05,1.5753077642163853e-05,-5.681899848072612e-05,-4.9959846900034e-06,0.9751185851233168,0.8389322500845747,0.0056125525040582325,0.0016735790198532108,-7.55904004357882e-05,1.4056471246571962e-05,-9.871123814785118e-05,-5.246956272372523e-05,0.9999999622621359,0.9999910015563945,8.695425490756747e-10,5.003319980545484e-11,0.06955620211587561,0.04860356253505671,0.08324168402100059,-0.07434104207180346,0.05927232462281268,0.06408473174400714,0.1577839246379302,0.01896845203453311,0.12627555938987692,0.3567073170731707,75,0.9669763417543232,-9.963281326633592e-06,1.708551110852054e-06,-8.024835112612618e-07,-5.243918846298268e-05,-0.001319936584263881,-0.005444649368385623,-0.004879061015232777,-1.2866790518637145e-05,True,True,True,True,True,True,True,-0.00012239089055186156
ablate_s3_to0p65,360,-0.00012285923709084217,904,193,33,0.047468614443285734,1,4,0.4644317010285177,0.2647825092850928,0.964308157580703,q2_bad,0.1619317464518064,0.0008163605239882188,0.010205926073456162,0.32941212913644546,0.08369996119750113,-0.027796177689141797,-0.010689383151833149,-7.778736572187147e-05,1.7809781621860668e-05,-0.00010708184961780265,-4.8492881825940274e-05,0.9999937212363716,0.9997742531781371,5.439060691836417e-07,8.59756924542765e-08,-5.096532344513142e-05,1.6824905252422082e-05,-7.863982987269276e-05,-2.3290817017570083e-05,0.998773824586241,0.9829614188910346,0.0001810750726413124,4.0883393886526065e-05,-3.0789715796900586e-05,1.64892458265981e-05,-5.79121116004749e-05,-3.6673199933262775e-06,0.9690673838889419,0.8260663354502878,0.007861859735816656,0.002588677111085569,-3.084879173757638e-05,1.5829447947265805e-05,-5.688591660627608e-05,-4.811666868876684e-06,0.9743417150853046,0.8368500571969739,0.005873238150377991,0.001772457644020009,-7.448762426302908e-05,1.4063131475499332e-05,-9.761941707679957e-05,-5.1355831449258596e-05,0.9999999410299611,0.9999871149857604,1.4320356012120783e-09,8.549072560981585e-11,0.06567072085799336,0.04461509463554358,0.08032424410758542,-0.0732192132306813,0.059554896767510405,0.06167981718672382,0.1619317464518064,0.01805061332083371,0.1270254486405728,0.36585365853658536,75,0.9664405356490003,-1.0164015314961694e-05,1.507817122523952e-06,-5.813220233952338e-07,-3.893732301718522e-05,0.0007864471943036522,-0.001296827554509411,-0.010184532282616787,-1.2589654874666997e-05,True,True,True,True,True,True,True,-0.00012218781151715225
ablate_not_top_swing20_to0p75,390,-0.00012239008510807486,904,193,33,0.04765057358291391,1,4,0.4627894107058347,0.2625640135278308,0.9649145759082286,q2_bad,0.15996149046862912,0.0008158766728924956,0.010205926073456162,0.33285323585564397,0.08634250807410306,-0.027377044237402733,-0.010830384588063202,-7.783493246469274e-05,1.7811551742762392e-05,-0.00010713232795040928,-4.8537536978976204e-05,0.9999937851991413,0.9997762154872014,5.379148211304141e-07,8.498138626134022e-08,-5.102557145060486e-05,1.6816176947932143e-05,-7.868572109486879e-05,-2.3365421806340938e-05,0.9987945856322985,0.9831582429972983,0.00017735864140977498,3.993512178745995e-05,-3.060273122087922e-05,1.6475319969268556e-05,-5.770222102751662e-05,-3.503241414241818e-06,0.9683792168124639,0.8233424042929947,0.008065055037124402,0.0026615612942211264,-3.091855069003893e-05,1.58113455948919e-05,-5.6925899838780055e-05,-4.911201541297808e-06,0.9747359610043239,0.8382104990066659,0.0057526134171664856,0.0017289207011643715,-7.513561062653195e-05,1.4085488052476393e-05,-9.830417673702938e-05,-5.1967044516034534e-05,0.9999999520316676,0.999989180580197,1.1449429182519566e-09,6.75839384456367e-11,0.07048049076126228,0.04947765832281647,0.08432831614320085,-0.07217206241269897,0.058883647413960065,0.06125469379655454,0.15996149046862912,0.019117981143855985,0.12737418500509748,0.35365853658536583,75,0.9656103238710402,-9.694863332194382e-06,1.976969105291264e-06,-6.55926812166089e-07,-4.265375424872264e-05,-0.0014320485629583102,-0.0032670835376867047,-0.006743425563418282,-1.3073505970390207e-05,True,True,True,True,True,True,True,-0.00012213368375529177
ablate_q2s2_to0p75,367,-0.00012249108872825826,904,193,33,0.04761128190475464,1,4,0.46195492483495043,0.26374213328688634,0.9645932236592178,q2_bad,0.1589771264560696,0.0008175864515998619,0.010205926073456162,0.33693424390091375,0.0877754592066916,-0.026573825118043046,-0.008210501080182866,-7.790546338717521e-05,1.7712586842905585e-05,-0.00010704007609842138,-4.877085067592903e-05,0.9999945451682836,0.9997952730669368,4.589533204590879e-07,7.097466281358322e-08,-5.0961414879382106e-05,1.6718066456582816e-05,-7.84601871261081e-05,-2.3462642632656114e-05,0.9988492385715085,0.9835157378085209,0.0001661087183930654,3.683642804686027e-05,-3.041294371116403e-05,1.6367175960250654e-05,-5.7334552452335266e-05,-3.491334969992798e-06,0.9684273376356283,0.821922205344979,0.007970585593438884,0.002606097328378354,-3.0753378498537256e-05,1.5713790538801233e-05,-5.660026385944019e-05,-4.906493137634318e-06,0.974831840947011,0.8371339822024414,0.0056683731517759295,0.0016869573376271374,-7.538407791448696e-05,1.4014292193993456e-05,-9.843553725893481e-05,-5.233261857003912e-05,0.9999999625674543,0.9999909277365197,8.514744465060176e-10,4.8487880377479087e-11,0.0718316109802628,0.05110359137477722,0.08513296157258747,-0.07548807259029876,0.05665226326127594,0.0634668532039281,0.1589771264560696,0.01895503313544957,0.12805975563621705,0.3676829268292683,75,0.9689743972445911,-9.79586695237779e-06,1.8759654851078556e-06,-7.531476384812653e-07,-5.3903677265432215e-05,-0.00025392880390279204,-0.004251447550246229,-0.0026624175181484966,-1.1363727263023911e-05,True,True,True,True,True,True,True,-0.00012192345100947825
