file,is_known_public,known_public_lb,selector_stress_mean,selector_stress_median,selector_stress_p10,selector_stress_p90,selector_stress_spread,selector_delta_vs_a2c8_public,selector_p90_delta_vs_a2c8_public,beats_a2c8_scenario_rate,resolved_better_than_a2c8_gate,candidate_selector_risk,proxy_pred_mean,proxy_delta_vs_a2c8_public,proxy_pred_spread,mean_abs_move_vs_a2c8,mean_abs_move_vs_raw05,bad_axis_abs_load,good_span_residual_ratio,raw05_a2c8_compat_energy,source_path,basename,candidate_family,movement_over_selector_uncertainty,raw05_novel_movement,low_public_bad_axis,p90_not_too_worse,scenario_majority_beats_a2c8,frontier_escape_candidate,novel_frontier_candidate,submission_priority_score
analysis_outputs/submission_public6entropy_raw05_q1q3s34_g030_7ad3f3e6.csv,False,,0.5777264376975932,0.5776878976567549,0.5775082046891344,0.5779899300731244,0.0012551853476621133,0.0002871166975932926,0.0005506090731244306,0.5173745173745173,False,0.5779837465249056,0.5776217211225826,0.00018240012258263771,0.0002491438201486229,0.007472061594027649,0.0018544094727766785,0.02651312935310646,0.04589576753738235,0.0053262856463567754,analysis_outputs/submission_public6entropy_raw05_q1q3s34_g030_7ad3f3e6.csv,submission_public6entropy_raw05_q1q3s34_g030_7ad3f3e6.csv,public6entropy,True,True,True,True,True,True,True,0.0007853989502119985
analysis_outputs/submission_public6entropy_raw05_ctx_g030_adcc5520.csv,False,,0.5777240000886145,0.5776865654311178,0.5775080710531322,0.5779922533576153,0.0012549966230570586,0.0002846790886145145,0.0005529323576153322,0.555984555984556,False,0.5779813078862084,0.5776176413792627,0.00017832037926279742,0.00023838953778010374,0.007858149330323092,0.002070868845419789,0.023413404534902097,0.055929246044890676,0.0057317146395053096,analysis_outputs/submission_public6entropy_raw05_ctx_g030_adcc5520.csv,submission_public6entropy_raw05_ctx_g030_adcc5520.csv,public6entropy,True,True,True,True,True,True,True,0.0007872079484270696
analysis_outputs/submission_raw05_cvjepa_surprise_graft_b0ba9eec.csv,False,,0.5777271111853095,0.5776933815699058,0.5775087998748731,0.577992270559751,0.0012589946570320532,0.00028779018530955547,0.0005529495597510481,0.5057915057915058,False,0.5779866243594551,0.5776190559698263,0.00017973496982637283,0.0002508965019827336,0.00874897652156068,0.0015276412215852633,0.02179631993674805,0.08889589497462909,0.0058056867529290125,analysis_outputs/submission_raw05_cvjepa_surprise_graft_b0ba9eec.csv,submission_raw05_cvjepa_surprise_graft_b0ba9eec.csv,cvjepa,True,True,True,True,True,True,True,0.000787755469852324
analysis_outputs/submission_raw05_cvjepa_surprise_graft_ba2783d3.csv,False,,0.5777271473525414,0.5776934060972806,0.5775086738240899,0.5779922830314284,0.0012590648940306037,0.0002878263525414315,0.0005529620314284056,0.5057915057915058,False,0.5779866789954908,0.5776190400822576,0.00017971908225766775,0.0002510284009438202,0.0087386287783208,0.001533294116865947,0.021823507969747365,0.0889027589562313,0.005808194398386751,analysis_outputs/submission_raw05_cvjepa_surprise_graft_ba2783d3.csv,submission_raw05_cvjepa_surprise_graft_ba2783d3.csv,cvjepa,True,True,True,True,True,True,True,0.0007877863775666387
analysis_outputs/submission_raw05_cvjepa_surprise_graft_ff9a333c.csv,False,,0.577727105441302,0.5776934095572613,0.5775087256086686,0.5779922971680481,0.0012590288518260495,0.0002877844413020636,0.0005529761680481693,0.5057915057915058,False,0.57798662823614,0.5776190242242465,0.00017970322424654128,0.00025097045548427843,0.008742519599552342,0.0015342805452282853,0.02179160461238281,0.08896567561833664,0.005810693230440714,analysis_outputs/submission_raw05_cvjepa_surprise_graft_ff9a333c.csv,submission_raw05_cvjepa_surprise_graft_ff9a333c.csv,cvjepa,True,True,True,True,True,True,True,0.00078778840351725
analysis_outputs/submission_raw05_cvjepa_surprise_graft_cb6e0af2.csv,False,,0.577726370014772,0.5776951228396011,0.5775076816014667,0.5779923236443898,0.00126104434094243,0.00028704901477205613,0.0005530026443898439,0.5173745173745173,False,0.5779863835813733,0.5776171673743455,0.00017784637434559158,0.00025104005929010853,0.008725375274518887,0.0015082971428572768,0.020622479769455873,0.09422652894781867,0.005813780974958912,analysis_outputs/submission_raw05_cvjepa_surprise_graft_cb6e0af2.csv,submission_raw05_cvjepa_surprise_graft_cb6e0af2.csv,cvjepa,True,True,True,True,True,True,True,0.0007880431232855126
analysis_outputs/submission_raw05_cvjepa_surprise_graft_9e024d5b.csv,False,,0.5777262669763071,0.5776949822707609,0.5775075044464437,0.5779923106848353,0.0012612720077711526,0.00028694597630718466,0.0005529896848353033,0.5212355212355212,False,0.577986310575737,0.5776169701252025,0.00017764912520257248,0.00025107477901509245,0.008724207182159643,0.0015082971428572764,0.0205357198894865,0.09417679784362347,0.005811573433391683,analysis_outputs/submission_raw05_cvjepa_surprise_graft_9e024d5b.csv,submission_raw05_cvjepa_surprise_graft_9e024d5b.csv,cvjepa,True,True,True,True,True,True,True,0.000788062718157492
analysis_outputs/submission_raw05_cvjepa_surprise_graft_87cd58a0.csv,False,,0.5777272876077868,0.5776909497459525,0.5775070912783764,0.5779933369471788,0.001258270934361705,0.00028796660778684924,0.0005540159471788542,0.5135135135135135,False,0.5779864122003346,0.5776184768025208,0.00017915580252081398,0.000250644877205497,0.008768361101957866,0.0017640682214015197,0.021512780018357852,0.08486977345556557,0.006004384041917796,analysis_outputs/submission_raw05_cvjepa_surprise_graft_87cd58a0.csv,submission_raw05_cvjepa_surprise_graft_87cd58a0.csv,cvjepa,True,True,True,True,True,True,True,0.00078863400022089
analysis_outputs/submission_public6entropy_raw05_noq2_g030_1fcb614c.csv,False,,0.5777249459617033,0.5776877986156925,0.5775054339004775,0.5779943008352288,0.0012558583046820004,0.00028562496170336793,0.000554979835228897,0.5328185328185329,False,0.5779825162387509,0.5776181614401107,0.00017884044011073907,0.00024336899088350794,0.00726488355706963,0.0026305024645833135,0.024854118212949236,0.053409967585168444,0.006080123158603607,analysis_outputs/submission_public6entropy_raw05_noq2_g030_1fcb614c.csv,submission_public6entropy_raw05_noq2_g030_1fcb614c.csv,public6entropy,True,True,True,True,True,True,True,0.0007896616673905275
analysis_outputs/submission_raw05_cvjepa_surprise_graft_8b2f4c54.csv,False,,0.5777276427053696,0.5776991289792448,0.5775078524566293,0.5779940173098567,0.0012619775965855284,0.00028832170536963186,0.000554696309856717,0.5135135135135135,False,0.577988276954098,0.5776168162752997,0.00017749527529975495,0.0002513982981572349,0.008841415786593823,0.0016758857142858475,0.020159420841509387,0.10429632570348832,0.006115735809251209,analysis_outputs/submission_raw05_cvjepa_surprise_graft_8b2f4c54.csv,submission_raw05_cvjepa_surprise_graft_8b2f4c54.csv,cvjepa,True,True,True,True,True,True,True,0.0007898504998264513
