basename,source_path,episode,pair,pair_family,interaction_story,view_id,split,rule,scale,source_delta_logloss,source_robust_gate,source_strict_dominance,source_min_mode_dominance,source_margin_to_null_q05,nonzero_rows,mean_abs_delta,max_abs_delta,signed_delta_sum_a,signed_delta_sum_b,delta_corr,promotion_decision,strict_promote_gate,info_sensor_gate,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current
submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_topabs96_s020_7cf1fd92.csv,analysis_outputs/submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_topabs96_s020_7cf1fd92.csv,cashflow_stress,Q1_S1,QS,money rumination affecting subjective satisfaction and stage stress,raw_human_context,subject5,topabs96,0.2,-0.0460231531664483,True,1.0,1.0,0.0297514671864098,96,0.01927153733642316,0.09000000000000001,-0.880576667697243,-1.0188953264246403,0.4767142624850716,promote_candidate,True,False,-0.00046758831704887317,-0.0006636837334485664,-0.00037956324513218096,1.0,0.003506931215165432
submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_joint_centered_s020_25ac7e27.csv,analysis_outputs/submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_joint_centered_s020_25ac7e27.csv,cashflow_stress,Q1_S1,QS,money rumination affecting subjective satisfaction and stage stress,raw_human_context,subject5,joint_centered,0.2,-0.0460231531664483,True,1.0,1.0,0.0297514671864098,250,0.02776381980374483,0.09000000000000001,-0.7467960144992516,-0.8609924012317132,0.47415597403840853,promote_candidate,True,False,-0.0005358499806671207,-0.0007921064948537579,-0.00037615822712972255,1.0,0.002173182372084581
submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_topabs64_s020_455f7191.csv,analysis_outputs/submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_topabs64_s020_455f7191.csv,cashflow_stress,Q1_S1,QS,money rumination affecting subjective satisfaction and stage stress,raw_human_context,subject5,topabs64,0.2,-0.0460231531664483,True,1.0,1.0,0.0297514671864098,64,0.014455788606752253,0.09000000000000001,-0.7088855962160012,-0.40906582862796204,0.4854092260181533,promote_candidate,True,False,-0.0004053814139130831,-0.0005724778556512475,-0.0002965600498623651,1.0,0.001972588128598407
submission_e310_pair_cashflow_stress_S1_S2_raw_human_context_subject5_joint_centered_s020_21fd0fb5.csv,analysis_outputs/submission_e310_pair_cashflow_stress_S1_S2_raw_human_context_subject5_joint_centered_s020_21fd0fb5.csv,cashflow_stress,S1_S2,SS,money rumination affecting subjective satisfaction and stage stress,raw_human_context,subject5,joint_centered,0.2,-0.0186235433822938,True,1.0,1.0,0.0163047987145928,250,0.028286054691698374,0.09000000000000001,-0.8521864652222971,-0.008836921968873479,0.5900558633163487,promote_candidate,True,False,-0.0003953865856934041,-0.0006270123375551992,-0.0002543278104412444,1.0,-0.0019829748578813478
submission_e310_pair_cashflow_stress_S1_S3_hybrid_context_subject5_joint_centered_s020_a94abe82.csv,analysis_outputs/submission_e310_pair_cashflow_stress_S1_S3_hybrid_context_subject5_joint_centered_s020_a94abe82.csv,cashflow_stress,S1_S3,SS,money rumination affecting subjective satisfaction and stage stress,hybrid_context,subject5,joint_centered,0.2,-0.0103893171428093,True,1.0,1.0,0.0074844284753061,250,0.02383375756734136,0.09000000000000001,0.46872327370941685,-0.1497452831923153,-0.5949275356193355,promote_candidate,True,False,-0.0004364795714708619,-0.000646637608831186,-0.00025285190334222243,0.9705882352941176,-0.0037116005701273713
submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_joint_centered_s014_34e27580.csv,analysis_outputs/submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_joint_centered_s014_34e27580.csv,cashflow_stress,Q1_S1,QS,money rumination affecting subjective satisfaction and stage stress,raw_human_context,subject5,joint_centered,0.14,-0.0460231531664483,True,1.0,1.0,0.0297514671864098,250,0.01943467386262138,0.06300000000000001,-0.5227572101494761,-0.6026946808621989,0.4741559740384085,promote_candidate,True,False,-0.00031782811133697684,-0.0004634419936741357,-0.00024158136874594214,1.0,0.0015212276604593677
submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_topabs32_s020_36096364.csv,analysis_outputs/submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_topabs32_s020_36096364.csv,cashflow_stress,Q1_S1,QS,money rumination affecting subjective satisfaction and stage stress,raw_human_context,subject5,topabs32,0.2,-0.0460231531664483,True,1.0,1.0,0.0297514671864098,32,0.008090145380740136,0.09000000000000001,-0.5314936940551507,-0.1832593478661257,0.5383337099627427,promote_candidate,True,False,-0.0002998783215054925,-0.0004090976904483916,-0.00022647809271958424,1.0,0.0052112207184703
submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_topabs96_s014_90707388.csv,analysis_outputs/submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_topabs96_s014_90707388.csv,cashflow_stress,Q1_S1,QS,money rumination affecting subjective satisfaction and stage stress,raw_human_context,subject5,topabs96,0.14,-0.0460231531664483,True,1.0,1.0,0.0297514671864098,96,0.01349007613549621,0.06300000000000001,-0.6164036673880702,-0.7132267284972482,0.4767142624850707,promote_candidate,True,False,-0.00027449723459221963,-0.0003804297272491744,-0.00021502974577292046,1.0,0.00245485185061578
submission_e310_pair_cashflow_stress_S1_S2_raw_human_context_subject5_topabs96_s020_68cd3503.csv,analysis_outputs/submission_e310_pair_cashflow_stress_S1_S2_raw_human_context_subject5_topabs96_s020_68cd3503.csv,cashflow_stress,S1_S2,SS,money rumination affecting subjective satisfaction and stage stress,raw_human_context,subject5,topabs96,0.2,-0.0186235433822938,True,1.0,1.0,0.0163047987145928,96,0.019530555141889942,0.09000000000000001,-0.850883404513642,-0.0831798968225167,0.6049941871286997,promote_candidate,True,False,-0.0003082240619044079,-0.0004901783236511628,-0.0001967264717220237,1.0,-0.0021540364290775216
submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_diff_top64_s020_96b3c216.csv,analysis_outputs/submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_diff_top64_s020_96b3c216.csv,cashflow_stress,Q1_S1,QS,money rumination affecting subjective satisfaction and stage stress,raw_human_context,subject5,diff_top64,0.2,-0.0460231531664483,True,1.0,1.0,0.0297514671864098,64,0.011296093211682904,0.09000000000000001,-0.15551484584552905,-0.005303904365409354,-0.10832631558339471,promote_candidate,True,False,-0.0003129585946683269,-0.0004637816460163301,-0.00018744621656735592,1.0,0.0018658037598433541
submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_topabs64_s014_d90ad181.csv,analysis_outputs/submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_topabs64_s014_d90ad181.csv,cashflow_stress,Q1_S1,QS,money rumination affecting subjective satisfaction and stage stress,raw_human_context,subject5,topabs64,0.14,-0.0460231531664483,True,1.0,1.0,0.0297514671864098,64,0.01011905202472658,0.06300000000000001,-0.4962199173512009,-0.28634608003957335,0.4854092260181556,promote_candidate,True,False,-0.00024079005813226149,-0.0003317438491348799,-0.0001839760553909583,1.0,0.0013808116900188294
submission_e310_pair_cashflow_stress_S1_S3_hybrid_context_subject5_topabs96_s020_c2a53309.csv,analysis_outputs/submission_e310_pair_cashflow_stress_S1_S3_hybrid_context_subject5_topabs96_s020_c2a53309.csv,cashflow_stress,S1_S3,SS,money rumination affecting subjective satisfaction and stage stress,hybrid_context,subject5,topabs96,0.2,-0.0103893171428093,True,1.0,1.0,0.0074844284753061,96,0.01624014770768187,0.09000000000000001,0.5891185441552961,-0.509859736426942,-0.6168631404178103,promote_candidate,True,False,-0.00036605448110175635,-0.0004988694850433692,-0.00017546666731940445,0.9411764705882353,-0.005203163619842188
