basename,source_path,recipe,source_note,weight,n_parts,episodes,pairs,rules,affected_targets,nonzero_rows,mean_abs_delta,max_abs_delta,signed_delta_sum,q_sum,s_sum,promotion_decision,strict_promote_gate,info_sensor_gate,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current
submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv,analysis_outputs/submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv,microstack,stack top null-rare too-small E310 rows,2.0,8,"bedtime_arousal,cashflow_stress,home_recovery","Q1_S1,Q1_S3,S1_S2,S3_S4","diff_top64,opp_sign_top64,same_sign_top64,topabs64,topabs96","Q1,S1,S2,S3,S4",174,0.01702720721916134,0.27063279440912824,1.7602382888876882,-0.7609011211444067,2.5211394100320947,promote_candidate,True,False,-0.0011782788183507269,-0.001722341194802199,-0.0008078270678346244,1.0,0.002415518081779977
submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv,analysis_outputs/submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv,microstack,stack top null-rare too-small E310 rows,2.0,8,"bedtime_arousal,cashflow_stress,home_recovery","Q1_S1,Q1_S3,S1_S2,S3_S4","diff_top64,opp_sign_top64,same_sign_top64,topabs64,topabs96","Q1,S1,S2,S3,S4",174,0.01702720721916134,0.27063279440912824,1.7602382888876882,-0.7609011211444067,2.5211394100320947,promote_candidate,True,False,-0.0011782788183507269,-0.001722341194802199,-0.0008078270678346244,1.0,0.002415518081779977
submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv,analysis_outputs/submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv,microstack,stack top null-rare too-small E310 rows,2.0,8,"bedtime_arousal,cashflow_stress,home_recovery","Q1_S1,Q1_S3,S1_S2,S3_S4","diff_top64,opp_sign_top64,same_sign_top64,topabs64,topabs96","Q1,S1,S2,S3,S4",174,0.01702720721916134,0.27063279440912824,1.7602382888876882,-0.7609011211444067,2.5211394100320947,promote_candidate,True,False,-0.0011782788183507269,-0.001722341194802199,-0.0008078270678346244,1.0,0.002415518081779977
submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv,analysis_outputs/submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv,microstack,stack top null-rare too-small E310 rows,2.0,8,"bedtime_arousal,cashflow_stress,home_recovery","Q1_S1,Q1_S3,S1_S2,S3_S4","diff_top64,opp_sign_top64,same_sign_top64,topabs64,topabs96","Q1,S1,S2,S3,S4",174,0.01702720721916134,0.27063279440912824,1.7602382888876882,-0.7609011211444067,2.5211394100320947,promote_candidate,True,False,-0.0011782788183507269,-0.001722341194802199,-0.0008078270678346244,1.0,0.002415518081779977
submission_e311_pairmicro_microstack_top6_w2_00_b173f856.csv,analysis_outputs/submission_e311_pairmicro_microstack_top6_w2_00_b173f856.csv,microstack,stack top null-rare too-small E310 rows,2.0,6,"bedtime_arousal,cashflow_stress","Q1_S1,Q1_S3,S1_S2","diff_top64,opp_sign_top64,same_sign_top64,topabs64,topabs96","Q1,S1,S2,S3",152,0.009260849762391696,0.2609999999999987,-1.603261743615108,-0.7609011211444067,-0.8423606224707008,promote_candidate,True,False,-0.00090876598998327,-0.0013455143320581446,-0.0006159041194942232,1.0,-0.0005197193670370415
submission_e311_pairmicro_microstack_top8_w1_50_8ab8e42a.csv,analysis_outputs/submission_e311_pairmicro_microstack_top8_w1_50_8ab8e42a.csv,microstack,stack top null-rare too-small E310 rows,1.5,8,"bedtime_arousal,cashflow_stress,home_recovery","Q1_S1,Q1_S3,S1_S2,S3_S4","diff_top64,opp_sign_top64,same_sign_top64,topabs64,topabs96","Q1,S1,S2,S3,S4",174,0.012770405414371007,0.20297459580684618,1.3201787166657661,-0.5706758408583051,1.89085455752407,promote_candidate,True,False,-0.0008520753721824779,-0.0012308708510104132,-0.0006061100122274537,1.0,0.0018116385613349273
submission_e311_pairmicro_microstack_top8_w1_50_8ab8e42a.csv,analysis_outputs/submission_e311_pairmicro_microstack_top8_w1_50_8ab8e42a.csv,microstack,stack top null-rare too-small E310 rows,1.5,8,"bedtime_arousal,cashflow_stress,home_recovery","Q1_S1,Q1_S3,S1_S2,S3_S4","diff_top64,opp_sign_top64,same_sign_top64,topabs64,topabs96","Q1,S1,S2,S3,S4",174,0.012770405414371007,0.20297459580684618,1.3201787166657661,-0.5706758408583051,1.89085455752407,promote_candidate,True,False,-0.0008520753721824779,-0.0012308708510104132,-0.0006061100122274537,1.0,0.0018116385613349273
submission_e311_pairmicro_microstack_top8_w1_50_8ab8e42a.csv,analysis_outputs/submission_e311_pairmicro_microstack_top8_w1_50_8ab8e42a.csv,microstack,stack top null-rare too-small E310 rows,1.5,8,"bedtime_arousal,cashflow_stress,home_recovery","Q1_S1,Q1_S3,S1_S2,S3_S4","diff_top64,opp_sign_top64,same_sign_top64,topabs64,topabs96","Q1,S1,S2,S3,S4",174,0.012770405414371007,0.20297459580684618,1.3201787166657661,-0.5706758408583051,1.89085455752407,promote_candidate,True,False,-0.0008520753721824779,-0.0012308708510104132,-0.0006061100122274537,1.0,0.0018116385613349273
submission_e311_pairmicro_microstack_top8_w1_50_8ab8e42a.csv,analysis_outputs/submission_e311_pairmicro_microstack_top8_w1_50_8ab8e42a.csv,microstack,stack top null-rare too-small E310 rows,1.5,8,"bedtime_arousal,cashflow_stress,home_recovery","Q1_S1,Q1_S3,S1_S2,S3_S4","diff_top64,opp_sign_top64,same_sign_top64,topabs64,topabs96","Q1,S1,S2,S3,S4",174,0.012770405414371007,0.20297459580684618,1.3201787166657661,-0.5706758408583051,1.89085455752407,promote_candidate,True,False,-0.0008520753721824779,-0.0012308708510104132,-0.0006061100122274537,1.0,0.0018116385613349273
submission_e311_pairmicro_resid_submission_e310_pair_cashflow_stress_Q1__wrong_swap_l0_50_kall_w1_50_7da75d01.csv,analysis_outputs/submission_e311_pairmicro_resid_submission_e310_pair_cashflow_stress_Q1__wrong_swap_l0_50_kall_w1_50_7da75d01.csv,residualized_visible,subtract E310 wrong_swap null mean from old-strict pair action,1.5,1,cashflow_stress,Q1_S1,resid_wrong_swap_lam0.50_topall,"Q1,S1",250,0.009640080000101213,0.12947418327875165,-1.705307294527384,-0.6549869550394796,-1.0503203394879046,promote_candidate,True,False,-0.0007456839858305015,-0.0011291947712855973,-0.000507576314626008,1.0,0.004540764777082595
submission_e311_pairmicro_resid_submission_e310_pair_cashflow_stress_Q1__row_subject_date_l0_50_k96_w1_50_e79791bf.csv,analysis_outputs/submission_e311_pairmicro_resid_submission_e310_pair_cashflow_stress_Q1__row_subject_date_l0_50_k96_w1_50_e79791bf.csv,residualized_visible,subtract E310 row_subject_date null mean from old-strict pair action,1.5,1,cashflow_stress,Q1_S1,resid_row_subject_date_lam0.50_top96,"Q1,S1",96,0.00759865520087857,0.14281446187743826,-2.1952045777287257,-1.0213792387557024,-1.173825338973023,promote_candidate,True,False,-0.0007101588591490228,-0.001040196647856172,-0.0005046763754031061,1.0,0.003673372747726056
submission_e311_pairmicro_resid_submission_e310_pair_cashflow_stress_Q1__all_controls_l0_50_k96_w1_50_897fc1d9.csv,analysis_outputs/submission_e311_pairmicro_resid_submission_e310_pair_cashflow_stress_Q1__all_controls_l0_50_k96_w1_50_897fc1d9.csv,residualized_visible,subtract E310 all_controls null mean from old-strict pair action,1.5,1,cashflow_stress,Q1_S1,resid_all_controls_lam0.50_top96,"Q1,S1",96,0.007310793101899837,0.13582501887563928,-2.142260111525302,-0.9479651103329717,-1.1942950011923306,promote_candidate,True,False,-0.0006882870654203901,-0.0010071354105510002,-0.0004981958876898803,1.0,0.004230880517708119
submission_e311_pairmicro_microstack_top8_w1_25_30a3004a.csv,analysis_outputs/submission_e311_pairmicro_microstack_top8_w1_25_30a3004a.csv,microstack,stack top null-rare too-small E310 rows,1.25,8,"bedtime_arousal,cashflow_stress,home_recovery","Q1_S1,Q1_S3,S1_S2,S3_S4","diff_top64,opp_sign_top64,same_sign_top64,topabs64,topabs96","Q1,S1,S2,S3,S4",174,0.010642004511975837,0.16914549650570515,1.1001489305548051,-0.47556320071525426,1.575712131270059,promote_candidate,True,False,-0.0006926164620420037,-0.0009966830571631554,-0.0004971686752754176,1.0,0.0015096988011121804
submission_e311_pairmicro_microstack_top8_w1_25_30a3004a.csv,analysis_outputs/submission_e311_pairmicro_microstack_top8_w1_25_30a3004a.csv,microstack,stack top null-rare too-small E310 rows,1.25,8,"bedtime_arousal,cashflow_stress,home_recovery","Q1_S1,Q1_S3,S1_S2,S3_S4","diff_top64,opp_sign_top64,same_sign_top64,topabs64,topabs96","Q1,S1,S2,S3,S4",174,0.010642004511975837,0.16914549650570515,1.1001489305548051,-0.47556320071525426,1.575712131270059,promote_candidate,True,False,-0.0006926164620420037,-0.0009966830571631554,-0.0004971686752754176,1.0,0.0015096988011121804
submission_e311_pairmicro_microstack_top8_w1_25_30a3004a.csv,analysis_outputs/submission_e311_pairmicro_microstack_top8_w1_25_30a3004a.csv,microstack,stack top null-rare too-small E310 rows,1.25,8,"bedtime_arousal,cashflow_stress,home_recovery","Q1_S1,Q1_S3,S1_S2,S3_S4","diff_top64,opp_sign_top64,same_sign_top64,topabs64,topabs96","Q1,S1,S2,S3,S4",174,0.010642004511975837,0.16914549650570515,1.1001489305548051,-0.47556320071525426,1.575712131270059,promote_candidate,True,False,-0.0006926164620420037,-0.0009966830571631554,-0.0004971686752754176,1.0,0.0015096988011121804
submission_e311_pairmicro_microstack_top8_w1_25_30a3004a.csv,analysis_outputs/submission_e311_pairmicro_microstack_top8_w1_25_30a3004a.csv,microstack,stack top null-rare too-small E310 rows,1.25,8,"bedtime_arousal,cashflow_stress,home_recovery","Q1_S1,Q1_S3,S1_S2,S3_S4","diff_top64,opp_sign_top64,same_sign_top64,topabs64,topabs96","Q1,S1,S2,S3,S4",174,0.010642004511975837,0.16914549650570515,1.1001489305548051,-0.47556320071525426,1.575712131270059,promote_candidate,True,False,-0.0006926164620420037,-0.0009966830571631554,-0.0004971686752754176,1.0,0.0015096988011121804
submission_e311_pairmicro_resid_submission_e310_pair_cashflow_stress_Q1__row_subject_date_l0_50_k96_w1_50_e3fc9e5e.csv,analysis_outputs/submission_e311_pairmicro_resid_submission_e310_pair_cashflow_stress_Q1__row_subject_date_l0_50_k96_w1_50_e3fc9e5e.csv,residualized_visible,subtract E310 row_subject_date null mean from old-strict pair action,1.5,1,cashflow_stress,Q1_S1,resid_row_subject_date_lam0.50_top96,"Q1,S1",96,0.007523337035673233,0.1561555290172713,-1.810930275320724,-0.9351865637304475,-0.8757437115902765,promote_candidate,True,False,-0.0006914527068668918,-0.0010218577807604857,-0.00047461515949919863,1.0,0.0033819311297277332
submission_e311_pairmicro_resid_submission_e310_pair_cashflow_stress_Q1__all_controls_l0_50_kall_w1_50_3163f496.csv,analysis_outputs/submission_e311_pairmicro_resid_submission_e310_pair_cashflow_stress_Q1__all_controls_l0_50_kall_w1_50_3163f496.csv,residualized_visible,subtract E310 all_controls null mean from old-strict pair action,1.5,1,cashflow_stress,Q1_S1,resid_all_controls_lam0.50_topall,"Q1,S1",250,0.01056515748692843,0.14830807438829494,-1.3527430714244422,-0.5880058179818178,-0.7647372534426242,promote_candidate,True,False,-0.0007432960492765009,-0.0011523880065451143,-0.00047368987347377916,1.0,0.0012882167185985782
submission_e311_pairmicro_resid_submission_e310_pair_cashflow_stress_Q1__all_controls_l0_50_k96_w1_50_f773eab2.csv,analysis_outputs/submission_e311_pairmicro_resid_submission_e310_pair_cashflow_stress_Q1__all_controls_l0_50_k96_w1_50_f773eab2.csv,residualized_visible,subtract E310 all_controls null mean from old-strict pair action,1.5,1,cashflow_stress,Q1_S1,resid_all_controls_lam0.50_top96,"Q1,S1",96,0.007227691243983031,0.14830807438829494,-1.9627543588603256,-0.9205883007607908,-1.0421660580995349,promote_candidate,True,False,-0.000663585254807698,-0.0009769387664855067,-0.0004707470317459467,1.0,0.0035696553651789475
submission_e311_pairmicro_resid_submission_e310_pair_cashflow_stress_Q1__row_subject_date_l0_75_k96_w1_50_c0fdff07.csv,analysis_outputs/submission_e311_pairmicro_resid_submission_e310_pair_cashflow_stress_Q1__row_subject_date_l0_75_k96_w1_50_c0fdff07.csv,residualized_visible,subtract E310 row_subject_date null mean from old-strict pair action,1.5,1,cashflow_stress,Q1_S1,resid_row_subject_date_lam0.75_top96,"Q1,S1",96,0.007274542255023591,0.14672169281615816,-1.8682028710016745,-0.8716363573606138,-0.9965665136410606,promote_candidate,True,False,-0.0006611999418792136,-0.0009751291369180482,-0.0004601937919918801,1.0,0.0028798607102150098
