q_source,row_prior,subset_size,label_mode,particles
h012,h041_support_public,55,temperature_sample,12
h012,h041_support_public,55,map,4
h012,h041_support_public,75,sample,18
h012,h041_support_public,75,temperature_sample,12
h012,h041_support_public,75,map,4
h012,h041_support_public,95,sample,18
h012,h041_support_public,95,temperature_sample,12
h012,h041_support_public,95,map,4
h012,h041_support_public,125,sample,18
h012,h041_support_public,125,temperature_sample,12
h012,h041_support_public,125,map,4
h012,h041_support_public,155,sample,18
h012,h041_support_public,155,temperature_sample,12
h012,h041_support_public,155,map,4
h012,h041_support_public,190,sample,18
h012,h041_support_public,190,temperature_sample,12
h012,h041_support_public,190,map,4
h012,h041_support_public,230,sample,18
h012,h041_support_public,230,temperature_sample,12
h012,h041_support_public,230,map,4
h012,h041_memory_disagree_public,55,sample,18
h012,h041_memory_disagree_public,55,temperature_sample,12
h012,h041_memory_disagree_public,55,map,4
h012,h041_memory_disagree_public,75,sample,18
h012,h041_memory_disagree_public,75,temperature_sample,12
h012,h041_memory_disagree_public,75,map,4
h012,h041_memory_disagree_public,95,sample,18
h012,h041_memory_disagree_public,95,temperature_sample,12
h012,h041_memory_disagree_public,95,map,4
h012,h041_memory_disagree_public,125,sample,18
h012,h041_memory_disagree_public,125,temperature_sample,12
h012,h041_memory_disagree_public,125,map,4
h012,h041_memory_disagree_public,155,sample,18
h012,h041_memory_disagree_public,155,temperature_sample,12
h012,h041_memory_disagree_public,155,map,4
h012,h041_memory_disagree_public,190,sample,18
h012,h041_memory_disagree_public,190,temperature_sample,12
h012,h041_memory_disagree_public,190,map,4
h012,h041_memory_disagree_public,230,sample,18
h012,h041_memory_disagree_public,230,temperature_sample,12
h012,h041_memory_disagree_public,230,map,4
h012,h041_world_public_prior,55,sample,18
h012,h041_world_public_prior,55,temperature_sample,12
h012,h041_world_public_prior,55,map,4
h012,h041_world_public_prior,75,sample,18
h012,h041_world_public_prior,75,temperature_sample,12
h012,h041_world_public_prior,75,map,4
h012,h041_world_public_prior,95,sample,18
h012,h041_world_public_prior,95,temperature_sample,12
h012,h041_world_public_prior,95,map,4
h012,h041_world_public_prior,125,sample,18
h012,h041_world_public_prior,125,temperature_sample,12
h012,h041_world_public_prior,125,map,4
h012,h041_world_public_prior,155,sample,18
h012,h041_world_public_prior,155,temperature_sample,12
h012,h041_world_public_prior,155,map,4
h012,h041_world_public_prior,190,sample,18
h012,h041_world_public_prior,190,temperature_sample,12
h012,h041_world_public_prior,190,map,4
h012,h041_world_public_prior,230,sample,18
h012,h041_world_public_prior,230,temperature_sample,12
h012,h041_world_public_prior,230,map,4
h012,h041_reliable_transition,55,sample,18
h012,h041_reliable_transition,55,temperature_sample,12
h012,h041_reliable_transition,55,map,4
h012,h041_reliable_transition,75,sample,18
h012,h041_reliable_transition,75,temperature_sample,12
h012,h041_reliable_transition,75,map,4
h012,h041_reliable_transition,95,sample,18
h012,h041_reliable_transition,95,temperature_sample,12
h012,h041_reliable_transition,95,map,4
h012,h041_reliable_transition,125,sample,18
h012,h041_reliable_transition,125,temperature_sample,12
h012,h041_reliable_transition,125,map,4
h012,h041_reliable_transition,155,sample,18
h012,h041_reliable_transition,155,temperature_sample,12
h012,h041_reliable_transition,155,map,4
h012,h041_reliable_transition,190,sample,18
h012,h041_reliable_transition,190,temperature_sample,12
h012,h041_reliable_transition,190,map,4
h012,h041_reliable_transition,230,sample,18
h012,h041_reliable_transition,230,temperature_sample,12
h012,h041_reliable_transition,230,map,4
h012,h041_private_inverse,55,sample,18
h012,h041_private_inverse,55,temperature_sample,12
h012,h041_private_inverse,55,map,4
h012,h041_private_inverse,75,sample,18
h012,h041_private_inverse,75,temperature_sample,12
h012,h041_private_inverse,75,map,4
h012,h041_private_inverse,95,sample,18
h012,h041_private_inverse,95,temperature_sample,12
h012,h041_private_inverse,95,map,4
h012,h041_private_inverse,125,sample,18
h012,h041_private_inverse,125,temperature_sample,12
h012,h041_private_inverse,125,map,4
h012,h041_private_inverse,155,sample,18
h012,h041_private_inverse,155,temperature_sample,12
h012,h041_private_inverse,155,map,4
h012,h041_private_inverse,190,sample,18
h012,h041_private_inverse,190,temperature_sample,12
h012,h041_private_inverse,190,map,4
h012,h041_private_inverse,230,sample,18
h012,h041_private_inverse,230,temperature_sample,12
h012,h041_private_inverse,230,map,4
h012posterior,uniform,55,sample,18
h012posterior,uniform,55,temperature_sample,12
h012posterior,uniform,55,map,4
h012posterior,uniform,75,sample,18
h012posterior,uniform,75,temperature_sample,12
h012posterior,uniform,75,map,4
h012posterior,uniform,95,sample,18
h012posterior,uniform,95,temperature_sample,12
h012posterior,uniform,95,map,4
h012posterior,uniform,125,sample,18
h012posterior,uniform,125,temperature_sample,12
h012posterior,uniform,125,map,4
h012posterior,uniform,155,sample,18
h012posterior,uniform,155,temperature_sample,12
h012posterior,uniform,155,map,4
h012posterior,uniform,190,sample,18
h012posterior,uniform,190,temperature_sample,12
h012posterior,uniform,190,map,4
h012posterior,uniform,230,sample,18
h012posterior,uniform,230,temperature_sample,12
h012posterior,uniform,230,map,4
h012posterior,h041_public_route,55,sample,18
h012posterior,h041_public_route,55,temperature_sample,12
h012posterior,h041_public_route,55,map,4
h012posterior,h041_public_route,75,sample,18
h012posterior,h041_public_route,75,temperature_sample,12
h012posterior,h041_public_route,75,map,4
h012posterior,h041_public_route,95,sample,18
h012posterior,h041_public_route,95,temperature_sample,12
h012posterior,h041_public_route,95,map,4
h012posterior,h041_public_route,125,sample,18
h012posterior,h041_public_route,125,temperature_sample,12
h012posterior,h041_public_route,125,map,4
h012posterior,h041_public_route,155,sample,18
h012posterior,h041_public_route,155,temperature_sample,12
h012posterior,h041_public_route,155,map,4
h012posterior,h041_public_route,190,sample,18
h012posterior,h041_public_route,190,temperature_sample,12
h012posterior,h041_public_route,190,map,4
h012posterior,h041_public_route,230,sample,18
h012posterior,h041_public_route,230,temperature_sample,12
h012posterior,h041_public_route,230,map,4
h012posterior,h041_public_route_sharp,55,sample,18
h012posterior,h041_public_route_sharp,55,temperature_sample,12
h012posterior,h041_public_route_sharp,55,map,4
h012posterior,h041_public_route_sharp,75,sample,18
h012posterior,h041_public_route_sharp,75,temperature_sample,12
h012posterior,h041_public_route_sharp,75,map,4
h012posterior,h041_public_route_sharp,95,sample,18
h012posterior,h041_public_route_sharp,95,temperature_sample,12
h012posterior,h041_public_route_sharp,95,map,4
h012posterior,h041_public_route_sharp,125,sample,18
h012posterior,h041_public_route_sharp,125,temperature_sample,12
h012posterior,h041_public_route_sharp,125,map,4
h012posterior,h041_public_route_sharp,155,sample,18
h012posterior,h041_public_route_sharp,155,temperature_sample,12
h012posterior,h041_public_route_sharp,155,map,4
h012posterior,h041_public_route_sharp,190,sample,18
h012posterior,h041_public_route_sharp,190,temperature_sample,12
h012posterior,h041_public_route_sharp,190,map,4
h012posterior,h041_public_route_sharp,230,sample,18
h012posterior,h041_public_route_sharp,230,temperature_sample,12
h012posterior,h041_public_route_sharp,230,map,4
h012posterior,h041_transition_exception,55,sample,18
h012posterior,h041_transition_exception,55,temperature_sample,12
h012posterior,h041_transition_exception,55,map,4
h012posterior,h041_transition_exception,75,sample,18
h012posterior,h041_transition_exception,75,temperature_sample,12
h012posterior,h041_transition_exception,75,map,4
h012posterior,h041_transition_exception,95,sample,18
h012posterior,h041_transition_exception,95,temperature_sample,12
h012posterior,h041_transition_exception,95,map,4
h012posterior,h041_transition_exception,125,sample,18
h012posterior,h041_transition_exception,125,temperature_sample,12
h012posterior,h041_transition_exception,125,map,4
h012posterior,h041_transition_exception,155,sample,18
h012posterior,h041_transition_exception,155,temperature_sample,12
h012posterior,h041_transition_exception,155,map,4
h012posterior,h041_transition_exception,190,sample,18
h012posterior,h041_transition_exception,190,temperature_sample,12
h012posterior,h041_transition_exception,190,map,4
h012posterior,h041_transition_exception,230,sample,18
h012posterior,h041_transition_exception,230,temperature_sample,12
h012posterior,h041_transition_exception,230,map,4
h012posterior,h041_transition_exception_sharp,55,sample,18
h012posterior,h041_transition_exception_sharp,55,temperature_sample,12
h012posterior,h041_transition_exception_sharp,55,map,4
h012posterior,h041_transition_exception_sharp,75,sample,18
h012posterior,h041_transition_exception_sharp,75,temperature_sample,12
h012posterior,h041_transition_exception_sharp,75,map,4
h012posterior,h041_transition_exception_sharp,95,sample,18
h012posterior,h041_transition_exception_sharp,95,temperature_sample,12
h012posterior,h041_transition_exception_sharp,95,map,4
h012posterior,h041_transition_exception_sharp,125,sample,18
h012posterior,h041_transition_exception_sharp,125,temperature_sample,12
h012posterior,h041_transition_exception_sharp,125,map,4
h012posterior,h041_transition_exception_sharp,155,sample,18
h012posterior,h041_transition_exception_sharp,155,temperature_sample,12
h012posterior,h041_transition_exception_sharp,155,map,4
h012posterior,h041_transition_exception_sharp,190,sample,18
h012posterior,h041_transition_exception_sharp,190,temperature_sample,12
h012posterior,h041_transition_exception_sharp,190,map,4
h012posterior,h041_transition_exception_sharp,230,sample,18
h012posterior,h041_transition_exception_sharp,230,temperature_sample,12
h012posterior,h041_transition_exception_sharp,230,map,4
h012posterior,h041_public_x_transition,55,sample,18
h012posterior,h041_public_x_transition,55,temperature_sample,12
h012posterior,h041_public_x_transition,55,map,4
h012posterior,h041_public_x_transition,75,sample,18
h012posterior,h041_public_x_transition,75,temperature_sample,12
h012posterior,h041_public_x_transition,75,map,4
h012posterior,h041_public_x_transition,95,sample,18
h012posterior,h041_public_x_transition,95,temperature_sample,12
h012posterior,h041_public_x_transition,95,map,4
h012posterior,h041_public_x_transition,125,sample,18
h012posterior,h041_public_x_transition,125,temperature_sample,12
h012posterior,h041_public_x_transition,125,map,4
h012posterior,h041_public_x_transition,155,sample,18
h012posterior,h041_public_x_transition,155,temperature_sample,12
h012posterior,h041_public_x_transition,155,map,4
h012posterior,h041_public_x_transition,190,sample,18
h012posterior,h041_public_x_transition,190,temperature_sample,12
h012posterior,h041_public_x_transition,190,map,4
h012posterior,h041_public_x_transition,230,sample,18
h012posterior,h041_public_x_transition,230,temperature_sample,12
h012posterior,h041_public_x_transition,230,map,4
h012posterior,h041_public_not_private,55,sample,18
h012posterior,h041_public_not_private,55,temperature_sample,12
h012posterior,h041_public_not_private,55,map,4
h012posterior,h041_public_not_private,75,sample,18
h012posterior,h041_public_not_private,75,temperature_sample,12
h012posterior,h041_public_not_private,75,map,4
h012posterior,h041_public_not_private,95,sample,18
h012posterior,h041_public_not_private,95,temperature_sample,12
h012posterior,h041_public_not_private,95,map,4
h012posterior,h041_public_not_private,125,sample,18
h012posterior,h041_public_not_private,125,temperature_sample,12
h012posterior,h041_public_not_private,125,map,4
h012posterior,h041_public_not_private,155,sample,18
h012posterior,h041_public_not_private,155,temperature_sample,12
h012posterior,h041_public_not_private,155,map,4
h012posterior,h041_public_not_private,190,sample,18
h012posterior,h041_public_not_private,190,temperature_sample,12
h012posterior,h041_public_not_private,190,map,4
h012posterior,h041_public_not_private,230,sample,18
h012posterior,h041_public_not_private,230,temperature_sample,12
h012posterior,h041_public_not_private,230,map,4
h012posterior,h041_uncertain_public,55,sample,18
h012posterior,h041_uncertain_public,55,temperature_sample,12
h012posterior,h041_uncertain_public,55,map,4
h012posterior,h041_uncertain_public,75,sample,18
h012posterior,h041_uncertain_public,75,temperature_sample,12
h012posterior,h041_uncertain_public,75,map,4
h012posterior,h041_uncertain_public,95,sample,18
h012posterior,h041_uncertain_public,95,temperature_sample,12
h012posterior,h041_uncertain_public,95,map,4
h012posterior,h041_uncertain_public,125,sample,18
h012posterior,h041_uncertain_public,125,temperature_sample,12
h012posterior,h041_uncertain_public,125,map,4
h012posterior,h041_uncertain_public,155,sample,18
h012posterior,h041_uncertain_public,155,temperature_sample,12
h012posterior,h041_uncertain_public,155,map,4
h012posterior,h041_uncertain_public,190,sample,18
h012posterior,h041_uncertain_public,190,temperature_sample,12
h012posterior,h041_uncertain_public,190,map,4
h012posterior,h041_uncertain_public,230,sample,18
h012posterior,h041_uncertain_public,230,temperature_sample,12
h012posterior,h041_uncertain_public,230,map,4
h012posterior,h041_support_public,55,sample,18
h012posterior,h041_support_public,55,temperature_sample,12
h012posterior,h041_support_public,55,map,4
h012posterior,h041_support_public,75,sample,18
h012posterior,h041_support_public,75,temperature_sample,12
h012posterior,h041_support_public,75,map,4
h012posterior,h041_support_public,95,sample,18
h012posterior,h041_support_public,95,temperature_sample,12
h012posterior,h041_support_public,95,map,4
h012posterior,h041_support_public,125,sample,18
h012posterior,h041_support_public,125,temperature_sample,12
h012posterior,h041_support_public,125,map,4
h012posterior,h041_support_public,155,sample,18
h012posterior,h041_support_public,155,temperature_sample,12
h012posterior,h041_support_public,155,map,4
h012posterior,h041_support_public,190,sample,18
h012posterior,h041_support_public,190,temperature_sample,12
h012posterior,h041_support_public,190,map,4
h012posterior,h041_support_public,230,sample,18
h012posterior,h041_support_public,230,temperature_sample,12
h012posterior,h041_support_public,230,map,4
h012posterior,h041_memory_disagree_public,55,sample,18
h012posterior,h041_memory_disagree_public,55,temperature_sample,12
h012posterior,h041_memory_disagree_public,55,map,4
h012posterior,h041_memory_disagree_public,75,sample,18
h012posterior,h041_memory_disagree_public,75,temperature_sample,12
h012posterior,h041_memory_disagree_public,75,map,4
h012posterior,h041_memory_disagree_public,95,sample,18
h012posterior,h041_memory_disagree_public,95,temperature_sample,12
h012posterior,h041_memory_disagree_public,95,map,4
h012posterior,h041_memory_disagree_public,125,sample,18
h012posterior,h041_memory_disagree_public,125,temperature_sample,12
h012posterior,h041_memory_disagree_public,125,map,4
h012posterior,h041_memory_disagree_public,155,sample,18
h012posterior,h041_memory_disagree_public,155,temperature_sample,12
h012posterior,h041_memory_disagree_public,155,map,4
h012posterior,h041_memory_disagree_public,190,sample,18
h012posterior,h041_memory_disagree_public,190,temperature_sample,12
h012posterior,h041_memory_disagree_public,190,map,4
h012posterior,h041_memory_disagree_public,230,sample,18
h012posterior,h041_memory_disagree_public,230,temperature_sample,12
h012posterior,h041_memory_disagree_public,230,map,4
h012posterior,h041_world_public_prior,55,sample,18
h012posterior,h041_world_public_prior,55,temperature_sample,12
h012posterior,h041_world_public_prior,55,map,4
h012posterior,h041_world_public_prior,75,sample,18
h012posterior,h041_world_public_prior,75,temperature_sample,12
h012posterior,h041_world_public_prior,75,map,4
h012posterior,h041_world_public_prior,95,sample,18
h012posterior,h041_world_public_prior,95,temperature_sample,12
h012posterior,h041_world_public_prior,95,map,4
h012posterior,h041_world_public_prior,125,sample,18
h012posterior,h041_world_public_prior,125,temperature_sample,12
h012posterior,h041_world_public_prior,125,map,4
h012posterior,h041_world_public_prior,155,sample,18
h012posterior,h041_world_public_prior,155,temperature_sample,12
h012posterior,h041_world_public_prior,155,map,4
h012posterior,h041_world_public_prior,190,sample,18
h012posterior,h041_world_public_prior,190,temperature_sample,12
h012posterior,h041_world_public_prior,190,map,4
h012posterior,h041_world_public_prior,230,sample,18
h012posterior,h041_world_public_prior,230,temperature_sample,12
h012posterior,h041_world_public_prior,230,map,4
h012posterior,h041_reliable_transition,55,sample,18
h012posterior,h041_reliable_transition,55,temperature_sample,12
h012posterior,h041_reliable_transition,55,map,4
h012posterior,h041_reliable_transition,75,sample,18
h012posterior,h041_reliable_transition,75,temperature_sample,12
h012posterior,h041_reliable_transition,75,map,4
h012posterior,h041_reliable_transition,95,sample,18
h012posterior,h041_reliable_transition,95,temperature_sample,12
h012posterior,h041_reliable_transition,95,map,4
h012posterior,h041_reliable_transition,125,sample,18
h012posterior,h041_reliable_transition,125,temperature_sample,12
h012posterior,h041_reliable_transition,125,map,4
h012posterior,h041_reliable_transition,155,sample,18
h012posterior,h041_reliable_transition,155,temperature_sample,12
h012posterior,h041_reliable_transition,155,map,4
h012posterior,h041_reliable_transition,190,sample,18
h012posterior,h041_reliable_transition,190,temperature_sample,12
h012posterior,h041_reliable_transition,190,map,4
h012posterior,h041_reliable_transition,230,sample,18
h012posterior,h041_reliable_transition,230,temperature_sample,12
h012posterior,h041_reliable_transition,230,map,4
h012posterior,h041_private_inverse,55,sample,18
h012posterior,h041_private_inverse,55,temperature_sample,12
h012posterior,h041_private_inverse,55,map,4
h012posterior,h041_private_inverse,75,sample,18
h012posterior,h041_private_inverse,75,temperature_sample,12
h012posterior,h041_private_inverse,75,map,4
h012posterior,h041_private_inverse,95,sample,18
h012posterior,h041_private_inverse,95,temperature_sample,12
h012posterior,h041_private_inverse,95,map,4
h012posterior,h041_private_inverse,125,sample,18
h012posterior,h041_private_inverse,125,temperature_sample,12
h012posterior,h041_private_inverse,125,map,4
h012posterior,h041_private_inverse,155,sample,18
h012posterior,h041_private_inverse,155,temperature_sample,12
h012posterior,h041_private_inverse,155,map,4
h012posterior,h041_private_inverse,190,sample,18
h012posterior,h041_private_inverse,190,temperature_sample,12
h012posterior,h041_private_inverse,190,map,4
h012posterior,h041_private_inverse,230,sample,18
h012posterior,h041_private_inverse,230,temperature_sample,12
h012posterior,h041_private_inverse,230,map,4
posterior_vector_mid,uniform,55,sample,18
posterior_vector_mid,uniform,55,temperature_sample,12
posterior_vector_mid,uniform,55,map,4
posterior_vector_mid,uniform,75,sample,18
posterior_vector_mid,uniform,75,temperature_sample,12
posterior_vector_mid,uniform,75,map,4
posterior_vector_mid,uniform,95,sample,18
posterior_vector_mid,uniform,95,temperature_sample,12
posterior_vector_mid,uniform,95,map,4
posterior_vector_mid,uniform,125,sample,18
posterior_vector_mid,uniform,125,temperature_sample,12
posterior_vector_mid,uniform,125,map,4
posterior_vector_mid,uniform,155,sample,18
posterior_vector_mid,uniform,155,temperature_sample,12
posterior_vector_mid,uniform,155,map,4
posterior_vector_mid,uniform,190,sample,18
posterior_vector_mid,uniform,190,temperature_sample,12
posterior_vector_mid,uniform,190,map,4
posterior_vector_mid,uniform,230,sample,18
posterior_vector_mid,uniform,230,temperature_sample,12
posterior_vector_mid,uniform,230,map,4
posterior_vector_mid,h041_public_route,55,sample,18
posterior_vector_mid,h041_public_route,55,temperature_sample,12
posterior_vector_mid,h041_public_route,55,map,4
posterior_vector_mid,h041_public_route,75,sample,18
posterior_vector_mid,h041_public_route,75,temperature_sample,12
posterior_vector_mid,h041_public_route,75,map,4
posterior_vector_mid,h041_public_route,95,sample,18
posterior_vector_mid,h041_public_route,95,temperature_sample,12
posterior_vector_mid,h041_public_route,95,map,4
posterior_vector_mid,h041_public_route,125,sample,18
posterior_vector_mid,h041_public_route,125,temperature_sample,12
posterior_vector_mid,h041_public_route,125,map,4
posterior_vector_mid,h041_public_route,155,sample,18
posterior_vector_mid,h041_public_route,155,temperature_sample,12
posterior_vector_mid,h041_public_route,155,map,4
posterior_vector_mid,h041_public_route,190,sample,18
posterior_vector_mid,h041_public_route,190,temperature_sample,12
posterior_vector_mid,h041_public_route,190,map,4
posterior_vector_mid,h041_public_route,230,sample,18
posterior_vector_mid,h041_public_route,230,temperature_sample,12
posterior_vector_mid,h041_public_route,230,map,4
posterior_vector_mid,h041_public_route_sharp,55,sample,18
posterior_vector_mid,h041_public_route_sharp,55,temperature_sample,12
posterior_vector_mid,h041_public_route_sharp,55,map,4
posterior_vector_mid,h041_public_route_sharp,75,sample,18
posterior_vector_mid,h041_public_route_sharp,75,temperature_sample,12
posterior_vector_mid,h041_public_route_sharp,75,map,4
posterior_vector_mid,h041_public_route_sharp,95,sample,18
posterior_vector_mid,h041_public_route_sharp,95,temperature_sample,12
posterior_vector_mid,h041_public_route_sharp,95,map,4
posterior_vector_mid,h041_public_route_sharp,125,sample,18
posterior_vector_mid,h041_public_route_sharp,125,temperature_sample,12
posterior_vector_mid,h041_public_route_sharp,125,map,4
posterior_vector_mid,h041_public_route_sharp,155,sample,18
posterior_vector_mid,h041_public_route_sharp,155,temperature_sample,12
posterior_vector_mid,h041_public_route_sharp,155,map,4
posterior_vector_mid,h041_public_route_sharp,190,sample,18
posterior_vector_mid,h041_public_route_sharp,190,temperature_sample,12
posterior_vector_mid,h041_public_route_sharp,190,map,4
posterior_vector_mid,h041_public_route_sharp,230,sample,18
posterior_vector_mid,h041_public_route_sharp,230,temperature_sample,12
posterior_vector_mid,h041_public_route_sharp,230,map,4
posterior_vector_mid,h041_transition_exception,55,sample,18
posterior_vector_mid,h041_transition_exception,55,temperature_sample,12
posterior_vector_mid,h041_transition_exception,55,map,4
posterior_vector_mid,h041_transition_exception,75,sample,18
posterior_vector_mid,h041_transition_exception,75,temperature_sample,12
posterior_vector_mid,h041_transition_exception,75,map,4
posterior_vector_mid,h041_transition_exception,95,sample,18
posterior_vector_mid,h041_transition_exception,95,temperature_sample,12
posterior_vector_mid,h041_transition_exception,95,map,4
posterior_vector_mid,h041_transition_exception,125,sample,18
posterior_vector_mid,h041_transition_exception,125,temperature_sample,12
posterior_vector_mid,h041_transition_exception,125,map,4
posterior_vector_mid,h041_transition_exception,155,sample,18
posterior_vector_mid,h041_transition_exception,155,temperature_sample,12
posterior_vector_mid,h041_transition_exception,155,map,4
posterior_vector_mid,h041_transition_exception,190,sample,18
