file,public_lb,delta_vs_h057,move_l2,changed_cells
submission_hybrid_0p578_logit_after_subject_final9_strict.csv,0.5784273528,0.010679758900000058,55.60663296843462,1750
submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,0.5779449757,0.010197381800000072,54.96456581679747,1750
submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,0.5783033652,0.010555771300000072,54.80375013479739,1750
submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,0.5775263072,0.00977871330000002,54.80162315514346,1750
submission_jepa_latent_q2_w0p45.csv,0.5798012862,0.012053692300000085,55.210443039764385,1750
submission_jepa_latent_residual_probe.csv,0.5812273278,0.013479733900000013,54.91837794225153,1750
submission_lejepa_targetwise_strict_best_scale0p5.csv,0.5802468192,0.012499225300000028,55.66898148766749,1750
submission_mixmin_0c916bb4.csv,0.5763066405,0.008559046600000064,54.7339414713508,1489
submission_e72_topabs50_q2s3_gate_4e48cba2.csv,0.5764077772,0.008660183300000068,54.80313641971574,1545
submission_e95_hardtail_541e3973.csv,0.5762913298,0.008543735900000016,54.689835881386855,1402
submission_e101_q2s3tail_177569bc.csv,0.576300366,0.00855277210000005,54.69171584881052,1413
submission_e176_abl_q2_to0p75_91e49725.csv,0.576311831,0.008564237100000094,54.703714745163886,1612
submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,0.5772865088,0.009538914900000028,55.18429671661992,1396
submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,0.5761589494,0.00841135550000005,54.67364942961119,1258
submission_e256_featnn1_top50_amp_then_smooth25_a3827329.csv,0.5762805676,0.008532973700000057,54.703879013311415,1258
submission_e267_humansocial_tail_balanced_2936100f.csv,0.5763294974,0.008581903499999988,54.69350241367046,1268
submission_e323_5508f966_uploadsafe.csv,0.5770355016,0.009287907699999987,54.80123581343844,1749
submission_e368_q2s1rowmask_selected_e368_q2_damp_s1_recover_amp1_06_be814361_uploadsafe.csv,0.576290429,0.00854283510000009,54.75079620810095,1343
submission_h010_objective_s1s4_v2_uploadsafe.csv,0.5781718175,0.01042422360000006,55.67391553233933,1748
submission_h012_public_equation_top_all_k1200_a0.7_uploadsafe.csv,0.5681234831,0.0003758892000000902,8.983122645178073,315
submission_h042_target_Q2_phase_k45_s0.5_c45_50fc6607_uploadsafe.csv,0.5679048248,0.00015723090000008266,8.962379122253312,270
submission_h050_target_route_phase_b140216b_uploadsafe.csv,0.5679048248,0.00015723090000008266,8.915958016342598,343
submission_h088_dual_state_gate_c31cc15b_uploadsafe.csv,0.5684942019,0.0007466080000000375,11.036867648235338,980
submission_h144_targetxor_def80b88_uploadsafe.csv,0.567929641,0.00018204710000002677,0.3190618374410653,28
submission_h145_q3repair_2d818e46_uploadsafe.csv,0.567929641,0.00018204710000002677,0.31856637507102115,27
submission_hsjepa_cross_listener_transport_listener_confirmed_shadow_660faef3_uploadsafe.csv,0.5684860446,0.000738450700000004,2.880307352767948,23
