source_candidate_id,source_experiment,candidate_id,norm,weight,world_cell_delta_vs_h012,pre_h012_h024_margin_vs_h012_median,pre_h012_h024_support_better_than_h012
h036:h036_target_Q2_k140_a1_c140_9ef667d6,h036,h036_target_Q2_k140_a1_c140_9ef667d6,1.9174449262621243,0.5659558823529411,-0.000235201174501,0.0014307486211121,0.25
h036:h036_celltop_k1600_a0.25_c1600_503f11ff,h036,h036_celltop_k1600_a0.25_c1600_503f11ff,6.047453228910102,0.7242401960784314,-0.0009834838913222,0.0050777189133996,0.25
h036:h036_target_Q2_k140_a0.7_c140_3a944f1c,h036,h036_target_Q2_k140_a0.7_c140_3a944f1c,1.3422114483834868,0.49330882352941174,-0.0002131288045339,0.0009975296342545,0.25
h036:h036_target_Q2_k80_a1_c80_5183b5b2,h036,h036_target_Q2_k80_a1_c80_5183b5b2,1.7451103404647037,0.5496323529411765,-0.0001969959519462,0.0012090890736395,0.25
h036:h036_celltop_k1600_a0.45_c1600_f852b1b0,h036,h036_celltop_k1600_a0.45_c1600_f852b1b0,10.88541581200535,0.7542401960784314,-0.0015633659186561,0.0091142006560107,0.25
h036:h036_celltop_k200_a0.25_c200_19cc7079,h036,h036_celltop_k200_a0.25_c200_19cc7079,5.907747564846467,0.681936274509804,-0.0003660837849783,0.0040376797504294,0.25
h036:h036_celltop_k400_a0.25_c400_9beb37c7,h036,h036_celltop_k400_a0.25_c400_9beb37c7,5.9695629709921185,0.7304656862745097,-0.0006238864707665,0.0043467702998228,0.25
h036:h036_target_Q2_k80_a0.7_c80_c611afae,h036,h036_target_Q2_k80_a0.7_c80_c611afae,1.2215772383252927,0.4719852941176471,-0.0001781935986362,0.0008441906307272,0.25
h036:h036_target_Q2_k140_a0.45_c140_73b59721,h036,h036_target_Q2_k140_a0.45_c140_73b59721,0.862850216817956,0.40928921568627447,-0.0001630593009768,0.0006364977733103,0.25
h036:h036_celltop_k1600_a0.7_c1600_7716e2b2,h036,h036_celltop_k1600_a0.7_c1600_7716e2b2,16.932869040914923,0.7716911764705882,-0.0020356181795472,0.0141603642031352,0.25
h036:h036_target_S2_k140_a0.45_c140_9817c3bc,h036,h036_target_S2_k140_a0.45_c140_9817c3bc,6.429367889890583,0.669264705882353,-0.0002545561794999,0.003897118415729,0.25
h036:h036_celltop_k1600_a1_c1600_51a1eddc,h036,h036_celltop_k1600_a1_c1600_51a1eddc,24.18981291564222,0.7826960784313726,-0.0022388208503741,0.0185335346836942,0.25
h036:h036_target_S2_k140_a0.7_c140_1106234d,h036,h036_target_S2_k140_a0.7_c140_1106234d,10.001238939815568,0.6973774509803922,-0.0003301101725419,0.0062185811342163,0.25
h036:h036_rowworld_r80_a0.25_c560_83422332,h036,h036_rowworld_r80_a0.25_c560_83422332,5.03265691532334,0.742720588235294,-0.0003716435724924,0.0035289462038771,0.25
h036:h036_target_Q2_k80_a0.45_c80_fe2781db,h036,h036_target_Q2_k80_a0.45_c80_fe2781db,0.7852996532091168,0.38566176470588237,-0.0001362116020821,0.000539930697131,0.25
