feature_set,alpha,n_features,loo_mae,loo_rmse,loo_spearman,loo_pair_acc,h012_pred_loo,h012_actual,h010_pred_loo,h010_actual,e323_pred_loo,e323_actual,e247_pred_loo,e247_actual,model_tag
state,0.01,54,0.0024523338897470067,0.007148833938282963,0.3666666666666667,0.7076023391812866,,,0.5780648662192738,0.5781718175,0.5761027438379227,0.5770355016,0.6063715466802901,0.5761589494,pre_h012
state,0.1,54,0.0027640464975162648,0.008810162015438158,0.368421052631579,0.7134502923976608,,,0.5782967779087202,0.5781718175,0.5761415198285038,0.5770355016,0.6140315698368348,0.5761589494,pre_h012
axes_state,10.0,94,3.862890788207156,16.834808611638152,0.5964912280701754,0.7894736842105263,,,0.576786444815501,0.5781718175,0.5808166033592191,0.5770355016,73.95738825663449,0.5761589494,pre_h012
all,1.0,152,5.718281616765786,24.92433888643993,0.9719298245614034,0.9473684210526315,,,0.5776159212131977,0.5781718175,0.5769039453282876,0.5770355016,-108.06651547680285,0.5761589494,pre_h012
all,10.0,152,5.737040878175387,25.005922855602005,0.9771929824561404,0.9532163742690059,,,0.5775923890581461,0.5781718175,0.5778307903696142,0.5770355016,-108.4221317522784,0.5761589494,pre_h012
all,0.1,152,6.080602975102822,26.503648029462635,0.9614035087719298,0.9415204678362573,,,0.5776742121793228,0.5781718175,0.5768606132927974,0.5770355016,-114.95056443232636,0.5761589494,pre_h012
all,0.01,152,6.402212941193073,27.9055256157212,0.9614035087719298,0.9415204678362573,,,0.5776933066335327,0.5781718175,0.576947473472558,0.5770355016,-121.06120716273774,0.5761589494,pre_h012
all,100.0,152,6.875825469619457,29.969222700756777,0.9368421052631579,0.9239766081871345,,,0.5775945303188694,0.5781718175,0.5793050924853494,0.5770355016,-130.05665418619492,0.5761589494,pre_h012
axes_state,100.0,94,12.822142835936445,55.88724886898227,0.8912280701754386,0.8888888888888888,,,0.5774186240382172,0.5781718175,0.5822317236809528,0.5770355016,-243.0307110309673,0.5761589494,pre_h012
axes,10.0,40,28.774170638607576,125.41393110693348,0.7140350877192982,0.7660818713450293,,,0.5751310217031882,0.5781718175,0.6021166432993158,0.5770355016,-546.0904922462545,0.5761589494,pre_h012
axes,100.0,40,48.917328239853134,213.21970276292873,0.8333333333333334,0.8245614035087719,,,0.5773107028098404,0.5781718175,0.5889326973643945,0.5770355016,-928.8269780782271,0.5761589494,pre_h012
axes_state,1.0,94,56.61521651810078,246.77698372515343,0.5157894736842105,0.7485380116959064,,,0.5758438753144752,0.5781718175,0.575482435356604,0.5770355016,1076.2520925898946,0.5761589494,pre_h012
axes,1.0,40,75.4996336723092,329.08574917966433,0.4526315789473684,0.6783625730994152,,,0.576317115950158,0.5781718175,0.6005785194716415,0.5770355016,1435.0276831751828,0.5761589494,pre_h012
axes,0.1,40,81.80886445629949,356.5850922193601,0.4070175438596491,0.672514619883041,,,0.5776871335326024,0.5781718175,0.6051855233932755,0.5770355016,1554.894540431365,0.5761589494,pre_h012
axes_state,0.1,94,83.20291902423828,362.6705139866931,0.5210526315789473,0.7485380116959064,,,0.5756587321573868,0.5781718175,0.5770298811732509,0.5770355016,1581.420279213486,0.5761589494,pre_h012
axes_state,0.01,94,86.62193695529001,377.57336679728996,0.5105263157894736,0.7426900584795322,,,0.5759639063820177,0.5781718175,0.5800265177874518,0.5770355016,1646.3803085839156,0.5761589494,pre_h012
axes,0.01,40,260.5826383065593,1135.834292351185,0.3736842105263158,0.6432748538011696,,,0.5778470930618017,0.5781718175,0.621782249211113,0.5770355016,4951.563055690869,0.5761589494,pre_h012
