split,feature_set,target,score_col,policy,fraction,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,active_subjects,positive_subjects,negative_subjects,raw_action_count,inverse_action_count,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,tail_safe_policy_score,accepted,accept_reason
subject_heldout,rhythm_temporal_decoder,S2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
subject_heldout,rhythm_temporal_decoder,S3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
subject_heldout,rhythm_temporal_decoder,S4,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
subject_heldout,residual_listener_interface,Q1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
subject_heldout,residual_listener_interface,Q2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
subject_heldout,residual_listener_interface,Q3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
subject_heldout,residual_listener_interface,S1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
subject_heldout,residual_listener_interface,S2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
subject_heldout,residual_listener_interface,S3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
subject_heldout,residual_listener_interface,S4,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
subject_heldout,rhythm_conditioned_action_health,Q1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
subject_heldout,rhythm_conditioned_action_health,Q2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
subject_heldout,rhythm_conditioned_action_health,Q3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
subject_heldout,rhythm_conditioned_action_health,S1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
subject_heldout,rhythm_conditioned_action_health,S2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
subject_heldout,rhythm_conditioned_action_health,S3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
subject_heldout,rhythm_conditioned_action_health,S4,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,action_only,Q1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,action_only,Q2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,action_only,Q3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,action_only,S1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,action_only,S2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,action_only,S3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,action_only,S4,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,listener_support_baseline,Q1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,listener_support_baseline,Q2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,listener_support_baseline,Q3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,listener_support_baseline,S1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,listener_support_baseline,S2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,listener_support_baseline,S3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,listener_support_baseline,S4,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,rhythm_temporal_decoder,Q1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,rhythm_temporal_decoder,Q2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,rhythm_temporal_decoder,Q3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,rhythm_temporal_decoder,S1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,rhythm_temporal_decoder,S2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,rhythm_temporal_decoder,S3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,rhythm_temporal_decoder,S4,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,residual_listener_interface,Q1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,residual_listener_interface,Q2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,residual_listener_interface,Q3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,residual_listener_interface,S1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,residual_listener_interface,S2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,residual_listener_interface,S3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,residual_listener_interface,S4,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,rhythm_conditioned_action_health,Q1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,rhythm_conditioned_action_health,Q2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,rhythm_conditioned_action_health,Q3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,rhythm_conditioned_action_health,S1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,rhythm_conditioned_action_health,S2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,rhythm_conditioned_action_health,S3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
chronological_holdout,rhythm_conditioned_action_health,S4,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,action_only,Q1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,action_only,Q2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,action_only,Q3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,action_only,S1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,action_only,S2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,action_only,S3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,action_only,S4,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,listener_support_baseline,Q1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,listener_support_baseline,Q2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,listener_support_baseline,Q3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,listener_support_baseline,S1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,listener_support_baseline,S2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,listener_support_baseline,S3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,listener_support_baseline,S4,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,rhythm_temporal_decoder,Q1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,rhythm_temporal_decoder,Q2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,rhythm_temporal_decoder,Q3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,rhythm_temporal_decoder,S1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,rhythm_temporal_decoder,S2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,rhythm_temporal_decoder,S3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,rhythm_temporal_decoder,S4,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,residual_listener_interface,Q1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,residual_listener_interface,Q2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,residual_listener_interface,Q3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,residual_listener_interface,S1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,residual_listener_interface,S2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,residual_listener_interface,S3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,residual_listener_interface,S4,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,rhythm_conditioned_action_health,Q1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,rhythm_conditioned_action_health,Q2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,rhythm_conditioned_action_health,Q3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,rhythm_conditioned_action_health,S1,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,rhythm_conditioned_action_health,S2,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,rhythm_conditioned_action_health,S3,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
row_block_holdout,rhythm_conditioned_action_health,S4,predicted_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,False,no_tail_safe_policy_passed
