q_source,row_prior,subset_size,label_mode,particles
h012posterior,h013_late_social_phone,230,temperature_sample,24
h012posterior,h013_late_social_phone,230,map,8
h012posterior,h013_body_calendar,70,sample,36
h012posterior,h013_body_calendar,70,temperature_sample,24
h012posterior,h013_body_calendar,70,map,8
h012posterior,h013_body_calendar,95,sample,36
h012posterior,h013_body_calendar,95,temperature_sample,24
h012posterior,h013_body_calendar,95,map,8
h012posterior,h013_body_calendar,125,sample,36
h012posterior,h013_body_calendar,125,temperature_sample,24
h012posterior,h013_body_calendar,125,map,8
h012posterior,h013_body_calendar,155,sample,36
h012posterior,h013_body_calendar,155,temperature_sample,24
h012posterior,h013_body_calendar,155,map,8
h012posterior,h013_body_calendar,190,sample,36
h012posterior,h013_body_calendar,190,temperature_sample,24
h012posterior,h013_body_calendar,190,map,8
h012posterior,h013_body_calendar,230,sample,36
h012posterior,h013_body_calendar,230,temperature_sample,24
h012posterior,h013_body_calendar,230,map,8
h015feedback,uniform,70,sample,36
h015feedback,uniform,70,temperature_sample,24
h015feedback,uniform,70,map,8
h015feedback,uniform,95,sample,36
h015feedback,uniform,95,temperature_sample,24
h015feedback,uniform,95,map,8
h015feedback,uniform,125,sample,36
h015feedback,uniform,125,temperature_sample,24
h015feedback,uniform,125,map,8
h015feedback,uniform,155,sample,36
h015feedback,uniform,155,temperature_sample,24
h015feedback,uniform,155,map,8
h015feedback,uniform,190,sample,36
h015feedback,uniform,190,temperature_sample,24
h015feedback,uniform,190,map,8
h015feedback,uniform,230,sample,36
h015feedback,uniform,230,temperature_sample,24
h015feedback,uniform,230,map,8
h015feedback,h019_inclusion_prob,70,sample,36
h015feedback,h019_inclusion_prob,70,temperature_sample,24
h015feedback,h019_inclusion_prob,70,map,8
h015feedback,h019_inclusion_prob,95,sample,36
h015feedback,h019_inclusion_prob,95,temperature_sample,24
h015feedback,h019_inclusion_prob,95,map,8
h015feedback,h019_inclusion_prob,125,sample,36
h015feedback,h019_inclusion_prob,125,temperature_sample,24
h015feedback,h019_inclusion_prob,125,map,8
h015feedback,h019_inclusion_prob,155,sample,36
h015feedback,h019_inclusion_prob,155,temperature_sample,24
h015feedback,h019_inclusion_prob,155,map,8
h015feedback,h019_inclusion_prob,190,sample,36
h015feedback,h019_inclusion_prob,190,temperature_sample,24
h015feedback,h019_inclusion_prob,190,map,8
h015feedback,h019_inclusion_prob,230,sample,36
h015feedback,h019_inclusion_prob,230,temperature_sample,24
h015feedback,h019_inclusion_prob,230,map,8
h015feedback,h019_row_score,70,sample,36
h015feedback,h019_row_score,70,temperature_sample,24
h015feedback,h019_row_score,70,map,8
h015feedback,h019_row_score,95,sample,36
h015feedback,h019_row_score,95,temperature_sample,24
h015feedback,h019_row_score,95,map,8
h015feedback,h019_row_score,125,sample,36
h015feedback,h019_row_score,125,temperature_sample,24
h015feedback,h019_row_score,125,map,8
h015feedback,h019_row_score,155,sample,36
h015feedback,h019_row_score,155,temperature_sample,24
h015feedback,h019_row_score,155,map,8
h015feedback,h019_row_score,190,sample,36
h015feedback,h019_row_score,190,temperature_sample,24
h015feedback,h019_row_score,190,map,8
h015feedback,h019_row_score,230,sample,36
h015feedback,h019_row_score,230,temperature_sample,24
h015feedback,h019_row_score,230,map,8
h015feedback,h019_row_weight,70,sample,36
h015feedback,h019_row_weight,70,temperature_sample,24
h015feedback,h019_row_weight,70,map,8
h015feedback,h019_row_weight,95,sample,36
h015feedback,h019_row_weight,95,temperature_sample,24
h015feedback,h019_row_weight,95,map,8
h015feedback,h019_row_weight,125,sample,36
h015feedback,h019_row_weight,125,temperature_sample,24
h015feedback,h019_row_weight,125,map,8
h015feedback,h019_row_weight,155,sample,36
h015feedback,h019_row_weight,155,temperature_sample,24
h015feedback,h019_row_weight,155,map,8
h015feedback,h019_row_weight,190,sample,36
h015feedback,h019_row_weight,190,temperature_sample,24
h015feedback,h019_row_weight,190,map,8
h015feedback,h019_row_weight,230,sample,36
h015feedback,h019_row_weight,230,temperature_sample,24
h015feedback,h019_row_weight,230,map,8
h015feedback,h019_mean_abs_logit_move_to_proxy,70,sample,36
h015feedback,h019_mean_abs_logit_move_to_proxy,70,temperature_sample,24
h015feedback,h019_mean_abs_logit_move_to_proxy,70,map,8
h015feedback,h019_mean_abs_logit_move_to_proxy,95,sample,36
h015feedback,h019_mean_abs_logit_move_to_proxy,95,temperature_sample,24
h015feedback,h019_mean_abs_logit_move_to_proxy,95,map,8
h015feedback,h019_mean_abs_logit_move_to_proxy,125,sample,36
h015feedback,h019_mean_abs_logit_move_to_proxy,125,temperature_sample,24
h015feedback,h019_mean_abs_logit_move_to_proxy,125,map,8
h015feedback,h019_mean_abs_logit_move_to_proxy,155,sample,36
h015feedback,h019_mean_abs_logit_move_to_proxy,155,temperature_sample,24
h015feedback,h019_mean_abs_logit_move_to_proxy,155,map,8
h015feedback,h019_mean_abs_logit_move_to_proxy,190,sample,36
h015feedback,h019_mean_abs_logit_move_to_proxy,190,temperature_sample,24
h015feedback,h019_mean_abs_logit_move_to_proxy,190,map,8
h015feedback,h019_mean_abs_logit_move_to_proxy,230,sample,36
h015feedback,h019_mean_abs_logit_move_to_proxy,230,temperature_sample,24
h015feedback,h019_mean_abs_logit_move_to_proxy,230,map,8
h015feedback,h030_score_identity_combo,70,sample,36
h015feedback,h030_score_identity_combo,70,temperature_sample,24
h015feedback,h030_score_identity_combo,70,map,8
h015feedback,h030_score_identity_combo,95,sample,36
h015feedback,h030_score_identity_combo,95,temperature_sample,24
h015feedback,h030_score_identity_combo,95,map,8
h015feedback,h030_score_identity_combo,125,sample,36
h015feedback,h030_score_identity_combo,125,temperature_sample,24
h015feedback,h030_score_identity_combo,125,map,8
h015feedback,h030_score_identity_combo,155,sample,36
h015feedback,h030_score_identity_combo,155,temperature_sample,24
h015feedback,h030_score_identity_combo,155,map,8
h015feedback,h030_score_identity_combo,190,sample,36
h015feedback,h030_score_identity_combo,190,temperature_sample,24
h015feedback,h030_score_identity_combo,190,map,8
h015feedback,h030_score_identity_combo,230,sample,36
h015feedback,h030_score_identity_combo,230,temperature_sample,24
h015feedback,h030_score_identity_combo,230,map,8
h015feedback,h030_score_no_h012_combo,70,sample,36
h015feedback,h030_score_no_h012_combo,70,temperature_sample,24
h015feedback,h030_score_no_h012_combo,70,map,8
h015feedback,h030_score_no_h012_combo,95,sample,36
h015feedback,h030_score_no_h012_combo,95,temperature_sample,24
h015feedback,h030_score_no_h012_combo,95,map,8
h015feedback,h030_score_no_h012_combo,125,sample,36
h015feedback,h030_score_no_h012_combo,125,temperature_sample,24
h015feedback,h030_score_no_h012_combo,125,map,8
h015feedback,h030_score_no_h012_combo,155,sample,36
h015feedback,h030_score_no_h012_combo,155,temperature_sample,24
h015feedback,h030_score_no_h012_combo,155,map,8
h015feedback,h030_score_no_h012_combo,190,sample,36
h015feedback,h030_score_no_h012_combo,190,temperature_sample,24
h015feedback,h030_score_no_h012_combo,190,map,8
h015feedback,h030_score_no_h012_combo,230,sample,36
h015feedback,h030_score_no_h012_combo,230,temperature_sample,24
h015feedback,h030_score_no_h012_combo,230,map,8
h015feedback,h030_score_public_row_subset,70,sample,36
h015feedback,h030_score_public_row_subset,70,temperature_sample,24
h015feedback,h030_score_public_row_subset,70,map,8
h015feedback,h030_score_public_row_subset,95,sample,36
h015feedback,h030_score_public_row_subset,95,temperature_sample,24
h015feedback,h030_score_public_row_subset,95,map,8
h015feedback,h030_score_public_row_subset,125,sample,36
h015feedback,h030_score_public_row_subset,125,temperature_sample,24
h015feedback,h030_score_public_row_subset,125,map,8
h015feedback,h030_score_public_row_subset,155,sample,36
h015feedback,h030_score_public_row_subset,155,temperature_sample,24
h015feedback,h030_score_public_row_subset,155,map,8
h015feedback,h030_score_public_row_subset,190,sample,36
h015feedback,h030_score_public_row_subset,190,temperature_sample,24
h015feedback,h030_score_public_row_subset,190,map,8
h015feedback,h030_score_public_row_subset,230,sample,36
h015feedback,h030_score_public_row_subset,230,temperature_sample,24
h015feedback,h030_score_public_row_subset,230,map,8
h015feedback,h030_score_joint_vector_row,70,sample,36
h015feedback,h030_score_joint_vector_row,70,temperature_sample,24
h015feedback,h030_score_joint_vector_row,70,map,8
h015feedback,h030_score_joint_vector_row,95,sample,36
h015feedback,h030_score_joint_vector_row,95,temperature_sample,24
h015feedback,h030_score_joint_vector_row,95,map,8
h015feedback,h030_score_joint_vector_row,125,sample,36
h015feedback,h030_score_joint_vector_row,125,temperature_sample,24
h015feedback,h030_score_joint_vector_row,125,map,8
h015feedback,h030_score_joint_vector_row,155,sample,36
h015feedback,h030_score_joint_vector_row,155,temperature_sample,24
h015feedback,h030_score_joint_vector_row,155,map,8
h015feedback,h030_score_joint_vector_row,190,sample,36
h015feedback,h030_score_joint_vector_row,190,temperature_sample,24
h015feedback,h030_score_joint_vector_row,190,map,8
h015feedback,h030_score_joint_vector_row,230,sample,36
h015feedback,h030_score_joint_vector_row,230,temperature_sample,24
h015feedback,h030_score_joint_vector_row,230,map,8
h015feedback,h030_score_memory_public_combo,70,sample,36
h015feedback,h030_score_memory_public_combo,70,temperature_sample,24
h015feedback,h030_score_memory_public_combo,70,map,8
h015feedback,h030_score_memory_public_combo,95,sample,36
h015feedback,h030_score_memory_public_combo,95,temperature_sample,24
h015feedback,h030_score_memory_public_combo,95,map,8
h015feedback,h030_score_memory_public_combo,125,sample,36
h015feedback,h030_score_memory_public_combo,125,temperature_sample,24
h015feedback,h030_score_memory_public_combo,125,map,8
h015feedback,h030_score_memory_public_combo,155,sample,36
h015feedback,h030_score_memory_public_combo,155,temperature_sample,24
h015feedback,h030_score_memory_public_combo,155,map,8
h015feedback,h030_score_memory_public_combo,190,sample,36
h015feedback,h030_score_memory_public_combo,190,temperature_sample,24
h015feedback,h030_score_memory_public_combo,190,map,8
h015feedback,h030_score_memory_public_combo,230,sample,36
h015feedback,h030_score_memory_public_combo,230,temperature_sample,24
h015feedback,h030_score_memory_public_combo,230,map,8
h015feedback,h035_route_translator_score,70,sample,36
h015feedback,h035_route_translator_score,70,temperature_sample,24
h015feedback,h035_route_translator_score,70,map,8
h015feedback,h035_route_translator_score,95,sample,36
h015feedback,h035_route_translator_score,95,temperature_sample,24
h015feedback,h035_route_translator_score,95,map,8
h015feedback,h035_route_translator_score,125,sample,36
h015feedback,h035_route_translator_score,125,temperature_sample,24
h015feedback,h035_route_translator_score,125,map,8
h015feedback,h035_route_translator_score,155,sample,36
h015feedback,h035_route_translator_score,155,temperature_sample,24
h015feedback,h035_route_translator_score,155,map,8
h015feedback,h035_route_translator_score,190,sample,36
h015feedback,h035_route_translator_score,190,temperature_sample,24
h015feedback,h035_route_translator_score,190,map,8
h015feedback,h035_route_translator_score,230,sample,36
h015feedback,h035_route_translator_score,230,temperature_sample,24
h015feedback,h035_route_translator_score,230,map,8
h015feedback,h035_score_public_row_subset,70,sample,36
h015feedback,h035_score_public_row_subset,70,temperature_sample,24
h015feedback,h035_score_public_row_subset,70,map,8
h015feedback,h035_score_public_row_subset,95,sample,36
h015feedback,h035_score_public_row_subset,95,temperature_sample,24
h015feedback,h035_score_public_row_subset,95,map,8
h015feedback,h035_score_public_row_subset,125,sample,36
h015feedback,h035_score_public_row_subset,125,temperature_sample,24
h015feedback,h035_score_public_row_subset,125,map,8
h015feedback,h035_score_public_row_subset,155,sample,36
h015feedback,h035_score_public_row_subset,155,temperature_sample,24
h015feedback,h035_score_public_row_subset,155,map,8
h015feedback,h035_score_public_row_subset,190,sample,36
h015feedback,h035_score_public_row_subset,190,temperature_sample,24
h015feedback,h035_score_public_row_subset,190,map,8
h015feedback,h035_score_public_row_subset,230,sample,36
h015feedback,h035_score_public_row_subset,230,temperature_sample,24
h015feedback,h035_score_public_row_subset,230,map,8
h015feedback,h035_score_identity_combo,70,sample,36
h015feedback,h035_score_identity_combo,70,temperature_sample,24
h015feedback,h035_score_identity_combo,70,map,8
h015feedback,h035_score_identity_combo,95,sample,36
h015feedback,h035_score_identity_combo,95,temperature_sample,24
h015feedback,h035_score_identity_combo,95,map,8
h015feedback,h035_score_identity_combo,125,sample,36
h015feedback,h035_score_identity_combo,125,temperature_sample,24
h015feedback,h035_score_identity_combo,125,map,8
h015feedback,h035_score_identity_combo,155,sample,36
h015feedback,h035_score_identity_combo,155,temperature_sample,24
h015feedback,h035_score_identity_combo,155,map,8
h015feedback,h035_score_identity_combo,190,sample,36
h015feedback,h035_score_identity_combo,190,temperature_sample,24
h015feedback,h035_score_identity_combo,190,map,8
h015feedback,h035_score_identity_combo,230,sample,36
h015feedback,h035_score_identity_combo,230,temperature_sample,24
h015feedback,h035_score_identity_combo,230,map,8
h015feedback,h035_private_safe_score,70,sample,36
h015feedback,h035_private_safe_score,70,temperature_sample,24
h015feedback,h035_private_safe_score,70,map,8
h015feedback,h035_private_safe_score,95,sample,36
h015feedback,h035_private_safe_score,95,temperature_sample,24
h015feedback,h035_private_safe_score,95,map,8
h015feedback,h035_private_safe_score,125,sample,36
h015feedback,h035_private_safe_score,125,temperature_sample,24
h015feedback,h035_private_safe_score,125,map,8
h015feedback,h035_private_safe_score,155,sample,36
h015feedback,h035_private_safe_score,155,temperature_sample,24
h015feedback,h035_private_safe_score,155,map,8
h015feedback,h035_private_safe_score,190,sample,36
h015feedback,h035_private_safe_score,190,temperature_sample,24
h015feedback,h035_private_safe_score,190,map,8
h015feedback,h035_private_safe_score,230,sample,36
h015feedback,h035_private_safe_score,230,temperature_sample,24
h015feedback,h035_private_safe_score,230,map,8
h015feedback,h013_calendar_pay_weekend,70,sample,36
h015feedback,h013_calendar_pay_weekend,70,temperature_sample,24
h015feedback,h013_calendar_pay_weekend,70,map,8
h015feedback,h013_calendar_pay_weekend,95,sample,36
h015feedback,h013_calendar_pay_weekend,95,temperature_sample,24
h015feedback,h013_calendar_pay_weekend,95,map,8
h015feedback,h013_calendar_pay_weekend,125,sample,36
h015feedback,h013_calendar_pay_weekend,125,temperature_sample,24
h015feedback,h013_calendar_pay_weekend,125,map,8
h015feedback,h013_calendar_pay_weekend,155,sample,36
h015feedback,h013_calendar_pay_weekend,155,temperature_sample,24
h015feedback,h013_calendar_pay_weekend,155,map,8
h015feedback,h013_calendar_pay_weekend,190,sample,36
h015feedback,h013_calendar_pay_weekend,190,temperature_sample,24
h015feedback,h013_calendar_pay_weekend,190,map,8
h015feedback,h013_calendar_pay_weekend,230,sample,36
h015feedback,h013_calendar_pay_weekend,230,temperature_sample,24
h015feedback,h013_calendar_pay_weekend,230,map,8
h015feedback,h013_late_social_phone,70,sample,36
h015feedback,h013_late_social_phone,70,temperature_sample,24
h015feedback,h013_late_social_phone,70,map,8
h015feedback,h013_late_social_phone,95,sample,36
h015feedback,h013_late_social_phone,95,temperature_sample,24
h015feedback,h013_late_social_phone,95,map,8
h015feedback,h013_late_social_phone,125,sample,36
h015feedback,h013_late_social_phone,125,temperature_sample,24
h015feedback,h013_late_social_phone,125,map,8
h015feedback,h013_late_social_phone,155,sample,36
h015feedback,h013_late_social_phone,155,temperature_sample,24
h015feedback,h013_late_social_phone,155,map,8
h015feedback,h013_late_social_phone,190,sample,36
h015feedback,h013_late_social_phone,190,temperature_sample,24
h015feedback,h013_late_social_phone,190,map,8
h015feedback,h013_late_social_phone,230,sample,36
h015feedback,h013_late_social_phone,230,temperature_sample,24
h015feedback,h013_late_social_phone,230,map,8
h015feedback,h013_body_calendar,70,sample,36
h015feedback,h013_body_calendar,70,temperature_sample,24
h015feedback,h013_body_calendar,70,map,8
h015feedback,h013_body_calendar,95,sample,36
h015feedback,h013_body_calendar,95,temperature_sample,24
h015feedback,h013_body_calendar,95,map,8
h015feedback,h013_body_calendar,125,sample,36
h015feedback,h013_body_calendar,125,temperature_sample,24
h015feedback,h013_body_calendar,125,map,8
h015feedback,h013_body_calendar,155,sample,36
h015feedback,h013_body_calendar,155,temperature_sample,24
h015feedback,h013_body_calendar,155,map,8
h015feedback,h013_body_calendar,190,sample,36
h015feedback,h013_body_calendar,190,temperature_sample,24
h015feedback,h013_body_calendar,190,map,8
h015feedback,h013_body_calendar,230,sample,36
h015feedback,h013_body_calendar,230,temperature_sample,24
h015feedback,h013_body_calendar,230,map,8
h017joint,uniform,70,sample,36
h017joint,uniform,70,temperature_sample,24
h017joint,uniform,70,map,8
h017joint,uniform,95,sample,36
h017joint,uniform,95,temperature_sample,24
h017joint,uniform,95,map,8
h017joint,uniform,125,sample,36
h017joint,uniform,125,temperature_sample,24
h017joint,uniform,125,map,8
h017joint,uniform,155,sample,36
h017joint,uniform,155,temperature_sample,24
h017joint,uniform,155,map,8
h017joint,uniform,190,sample,36
h017joint,uniform,190,temperature_sample,24
h017joint,uniform,190,map,8
h017joint,uniform,230,sample,36
h017joint,uniform,230,temperature_sample,24
h017joint,uniform,230,map,8
h017joint,h019_inclusion_prob,70,sample,36
h017joint,h019_inclusion_prob,70,temperature_sample,24
h017joint,h019_inclusion_prob,70,map,8
h017joint,h019_inclusion_prob,95,sample,36
h017joint,h019_inclusion_prob,95,temperature_sample,24
h017joint,h019_inclusion_prob,95,map,8
h017joint,h019_inclusion_prob,125,sample,36
h017joint,h019_inclusion_prob,125,temperature_sample,24
h017joint,h019_inclusion_prob,125,map,8
h017joint,h019_inclusion_prob,155,sample,36
h017joint,h019_inclusion_prob,155,temperature_sample,24
h017joint,h019_inclusion_prob,155,map,8
h017joint,h019_inclusion_prob,190,sample,36
h017joint,h019_inclusion_prob,190,temperature_sample,24
h017joint,h019_inclusion_prob,190,map,8
h017joint,h019_inclusion_prob,230,sample,36
h017joint,h019_inclusion_prob,230,temperature_sample,24
h017joint,h019_inclusion_prob,230,map,8
h017joint,h019_row_score,70,sample,36
h017joint,h019_row_score,70,temperature_sample,24
h017joint,h019_row_score,70,map,8
h017joint,h019_row_score,95,sample,36
h017joint,h019_row_score,95,temperature_sample,24
h017joint,h019_row_score,95,map,8
h017joint,h019_row_score,125,sample,36
h017joint,h019_row_score,125,temperature_sample,24
h017joint,h019_row_score,125,map,8
h017joint,h019_row_score,155,sample,36
h017joint,h019_row_score,155,temperature_sample,24
h017joint,h019_row_score,155,map,8
h017joint,h019_row_score,190,sample,36
h017joint,h019_row_score,190,temperature_sample,24
h017joint,h019_row_score,190,map,8
h017joint,h019_row_score,230,sample,36
h017joint,h019_row_score,230,temperature_sample,24
h017joint,h019_row_score,230,map,8
h017joint,h019_row_weight,70,sample,36
h017joint,h019_row_weight,70,temperature_sample,24
h017joint,h019_row_weight,70,map,8
h017joint,h019_row_weight,95,sample,36
h017joint,h019_row_weight,95,temperature_sample,24
h017joint,h019_row_weight,95,map,8
h017joint,h019_row_weight,125,sample,36
h017joint,h019_row_weight,125,temperature_sample,24
h017joint,h019_row_weight,125,map,8
h017joint,h019_row_weight,155,sample,36
h017joint,h019_row_weight,155,temperature_sample,24
h017joint,h019_row_weight,155,map,8
h017joint,h019_row_weight,190,sample,36
h017joint,h019_row_weight,190,temperature_sample,24
h017joint,h019_row_weight,190,map,8
h017joint,h019_row_weight,230,sample,36
h017joint,h019_row_weight,230,temperature_sample,24
h017joint,h019_row_weight,230,map,8
h017joint,h019_mean_abs_logit_move_to_proxy,70,sample,36
h017joint,h019_mean_abs_logit_move_to_proxy,70,temperature_sample,24
h017joint,h019_mean_abs_logit_move_to_proxy,70,map,8
h017joint,h019_mean_abs_logit_move_to_proxy,95,sample,36
h017joint,h019_mean_abs_logit_move_to_proxy,95,temperature_sample,24
h017joint,h019_mean_abs_logit_move_to_proxy,95,map,8
h017joint,h019_mean_abs_logit_move_to_proxy,125,sample,36
h017joint,h019_mean_abs_logit_move_to_proxy,125,temperature_sample,24
h017joint,h019_mean_abs_logit_move_to_proxy,125,map,8
h017joint,h019_mean_abs_logit_move_to_proxy,155,sample,36
h017joint,h019_mean_abs_logit_move_to_proxy,155,temperature_sample,24
h017joint,h019_mean_abs_logit_move_to_proxy,155,map,8
h017joint,h019_mean_abs_logit_move_to_proxy,190,sample,36
h017joint,h019_mean_abs_logit_move_to_proxy,190,temperature_sample,24
h017joint,h019_mean_abs_logit_move_to_proxy,190,map,8
h017joint,h019_mean_abs_logit_move_to_proxy,230,sample,36
h017joint,h019_mean_abs_logit_move_to_proxy,230,temperature_sample,24
h017joint,h019_mean_abs_logit_move_to_proxy,230,map,8
h017joint,h030_score_identity_combo,70,sample,36
h017joint,h030_score_identity_combo,70,temperature_sample,24
h017joint,h030_score_identity_combo,70,map,8
h017joint,h030_score_identity_combo,95,sample,36
h017joint,h030_score_identity_combo,95,temperature_sample,24
h017joint,h030_score_identity_combo,95,map,8
h017joint,h030_score_identity_combo,125,sample,36
h017joint,h030_score_identity_combo,125,temperature_sample,24
h017joint,h030_score_identity_combo,125,map,8
h017joint,h030_score_identity_combo,155,sample,36
h017joint,h030_score_identity_combo,155,temperature_sample,24
h017joint,h030_score_identity_combo,155,map,8
h017joint,h030_score_identity_combo,190,sample,36
h017joint,h030_score_identity_combo,190,temperature_sample,24
h017joint,h030_score_identity_combo,190,map,8
h017joint,h030_score_identity_combo,230,sample,36
h017joint,h030_score_identity_combo,230,temperature_sample,24
h017joint,h030_score_identity_combo,230,map,8
h017joint,h030_score_no_h012_combo,70,sample,36
h017joint,h030_score_no_h012_combo,70,temperature_sample,24
h017joint,h030_score_no_h012_combo,70,map,8
h017joint,h030_score_no_h012_combo,95,sample,36
h017joint,h030_score_no_h012_combo,95,temperature_sample,24
h017joint,h030_score_no_h012_combo,95,map,8
h017joint,h030_score_no_h012_combo,125,sample,36
h017joint,h030_score_no_h012_combo,125,temperature_sample,24
h017joint,h030_score_no_h012_combo,125,map,8
h017joint,h030_score_no_h012_combo,155,sample,36
h017joint,h030_score_no_h012_combo,155,temperature_sample,24
h017joint,h030_score_no_h012_combo,155,map,8
h017joint,h030_score_no_h012_combo,190,sample,36
h017joint,h030_score_no_h012_combo,190,temperature_sample,24
h017joint,h030_score_no_h012_combo,190,map,8
h017joint,h030_score_no_h012_combo,230,sample,36
h017joint,h030_score_no_h012_combo,230,temperature_sample,24
h017joint,h030_score_no_h012_combo,230,map,8
h017joint,h030_score_public_row_subset,70,sample,36
h017joint,h030_score_public_row_subset,70,temperature_sample,24
h017joint,h030_score_public_row_subset,70,map,8
h017joint,h030_score_public_row_subset,95,sample,36
h017joint,h030_score_public_row_subset,95,temperature_sample,24
h017joint,h030_score_public_row_subset,95,map,8
h017joint,h030_score_public_row_subset,125,sample,36
h017joint,h030_score_public_row_subset,125,temperature_sample,24
h017joint,h030_score_public_row_subset,125,map,8
h017joint,h030_score_public_row_subset,155,sample,36
h017joint,h030_score_public_row_subset,155,temperature_sample,24
h017joint,h030_score_public_row_subset,155,map,8
h017joint,h030_score_public_row_subset,190,sample,36
h017joint,h030_score_public_row_subset,190,temperature_sample,24
h017joint,h030_score_public_row_subset,190,map,8
h017joint,h030_score_public_row_subset,230,sample,36
h017joint,h030_score_public_row_subset,230,temperature_sample,24
h017joint,h030_score_public_row_subset,230,map,8
h017joint,h030_score_joint_vector_row,70,sample,36
h017joint,h030_score_joint_vector_row,70,temperature_sample,24
h017joint,h030_score_joint_vector_row,70,map,8
h017joint,h030_score_joint_vector_row,95,sample,36
h017joint,h030_score_joint_vector_row,95,temperature_sample,24
h017joint,h030_score_joint_vector_row,95,map,8
h017joint,h030_score_joint_vector_row,125,sample,36
h017joint,h030_score_joint_vector_row,125,temperature_sample,24
h017joint,h030_score_joint_vector_row,125,map,8
h017joint,h030_score_joint_vector_row,155,sample,36
h017joint,h030_score_joint_vector_row,155,temperature_sample,24
h017joint,h030_score_joint_vector_row,155,map,8
h017joint,h030_score_joint_vector_row,190,sample,36
h017joint,h030_score_joint_vector_row,190,temperature_sample,24
h017joint,h030_score_joint_vector_row,190,map,8
h017joint,h030_score_joint_vector_row,230,sample,36
h017joint,h030_score_joint_vector_row,230,temperature_sample,24
h017joint,h030_score_joint_vector_row,230,map,8
h017joint,h030_score_memory_public_combo,70,sample,36
h017joint,h030_score_memory_public_combo,70,temperature_sample,24
h017joint,h030_score_memory_public_combo,70,map,8
h017joint,h030_score_memory_public_combo,95,sample,36
h017joint,h030_score_memory_public_combo,95,temperature_sample,24
h017joint,h030_score_memory_public_combo,95,map,8
h017joint,h030_score_memory_public_combo,125,sample,36
h017joint,h030_score_memory_public_combo,125,temperature_sample,24
h017joint,h030_score_memory_public_combo,125,map,8
h017joint,h030_score_memory_public_combo,155,sample,36
h017joint,h030_score_memory_public_combo,155,temperature_sample,24
h017joint,h030_score_memory_public_combo,155,map,8
h017joint,h030_score_memory_public_combo,190,sample,36
h017joint,h030_score_memory_public_combo,190,temperature_sample,24
h017joint,h030_score_memory_public_combo,190,map,8
h017joint,h030_score_memory_public_combo,230,sample,36
h017joint,h030_score_memory_public_combo,230,temperature_sample,24
h017joint,h030_score_memory_public_combo,230,map,8
h017joint,h035_route_translator_score,70,sample,36
h017joint,h035_route_translator_score,70,temperature_sample,24
h017joint,h035_route_translator_score,70,map,8
h017joint,h035_route_translator_score,95,sample,36
h017joint,h035_route_translator_score,95,temperature_sample,24
h017joint,h035_route_translator_score,95,map,8
h017joint,h035_route_translator_score,125,sample,36
h017joint,h035_route_translator_score,125,temperature_sample,24
h017joint,h035_route_translator_score,125,map,8
h017joint,h035_route_translator_score,155,sample,36
h017joint,h035_route_translator_score,155,temperature_sample,24
h017joint,h035_route_translator_score,155,map,8
h017joint,h035_route_translator_score,190,sample,36
h017joint,h035_route_translator_score,190,temperature_sample,24
h017joint,h035_route_translator_score,190,map,8
h017joint,h035_route_translator_score,230,sample,36
h017joint,h035_route_translator_score,230,temperature_sample,24
h017joint,h035_route_translator_score,230,map,8
h017joint,h035_score_public_row_subset,70,sample,36
h017joint,h035_score_public_row_subset,70,temperature_sample,24
h017joint,h035_score_public_row_subset,70,map,8
h017joint,h035_score_public_row_subset,95,sample,36
h017joint,h035_score_public_row_subset,95,temperature_sample,24
h017joint,h035_score_public_row_subset,95,map,8
h017joint,h035_score_public_row_subset,125,sample,36
h017joint,h035_score_public_row_subset,125,temperature_sample,24
h017joint,h035_score_public_row_subset,125,map,8
h017joint,h035_score_public_row_subset,155,sample,36
h017joint,h035_score_public_row_subset,155,temperature_sample,24
h017joint,h035_score_public_row_subset,155,map,8
h017joint,h035_score_public_row_subset,190,sample,36
h017joint,h035_score_public_row_subset,190,temperature_sample,24
h017joint,h035_score_public_row_subset,190,map,8
h017joint,h035_score_public_row_subset,230,sample,36
h017joint,h035_score_public_row_subset,230,temperature_sample,24
h017joint,h035_score_public_row_subset,230,map,8
h017joint,h035_score_identity_combo,70,sample,36
h017joint,h035_score_identity_combo,70,temperature_sample,24
h017joint,h035_score_identity_combo,70,map,8
h017joint,h035_score_identity_combo,95,sample,36
h017joint,h035_score_identity_combo,95,temperature_sample,24
h017joint,h035_score_identity_combo,95,map,8
h017joint,h035_score_identity_combo,125,sample,36
h017joint,h035_score_identity_combo,125,temperature_sample,24
h017joint,h035_score_identity_combo,125,map,8
h017joint,h035_score_identity_combo,155,sample,36
h017joint,h035_score_identity_combo,155,temperature_sample,24
h017joint,h035_score_identity_combo,155,map,8
h017joint,h035_score_identity_combo,190,sample,36
h017joint,h035_score_identity_combo,190,temperature_sample,24
h017joint,h035_score_identity_combo,190,map,8
h017joint,h035_score_identity_combo,230,sample,36
h017joint,h035_score_identity_combo,230,temperature_sample,24
h017joint,h035_score_identity_combo,230,map,8
h017joint,h035_private_safe_score,70,sample,36
h017joint,h035_private_safe_score,70,temperature_sample,24
h017joint,h035_private_safe_score,70,map,8
h017joint,h035_private_safe_score,95,sample,36
h017joint,h035_private_safe_score,95,temperature_sample,24
h017joint,h035_private_safe_score,95,map,8
h017joint,h035_private_safe_score,125,sample,36
h017joint,h035_private_safe_score,125,temperature_sample,24
