row,driver_target,driver_flat,driver_step,bridge_target,bridge_flat,bridge_step,actions,action_count,public_delta_estimate,driver_public_delta,bridge_public_delta,public_utility,old_route_energy,new_route_energy,route_energy_delta,same_direction,driver_h088_alignment,driver_stability,source_support,solver_score
182,S3,1279,1.45,S2,1278,0.62,"[(1279, 'S3', 1.45, 'driver'), (1278, 'S2', 0.62, 'bridge')]",2,-0.005880967075220751,-0.005972659361513155,9.169228629240469e-05,0.005880967075220751,0.7520618144445538,0.7400859875143342,-0.01197582693021959,True,0.0,1.0,6,0.007782287613863309
182,S3,1279,1.45,S2,1278,0.46499999999999997,"[(1279, 'S3', 1.45, 'driver'), (1278, 'S2', 0.46499999999999997, 'bridge')]",2,-0.0059038901467938516,-0.005972659361513155,6.876921471930351e-05,0.0059038901467938516,0.7520618144445538,0.7501601822389896,-0.0019016322055641632,True,0.0,1.0,6,0.007397672717959029
184,S2,1292,1.2802977332677983,S1,1291,0.62,"[(1292, 'S2', 1.2802977332677983, 'driver'), (1291, 'S1', 0.62, 'bridge')]",2,-0.0018560842547145,-0.0013663658037879303,-0.0004897184509265696,0.0018560842547145,0.6840839009131192,0.6449262285364982,-0.039157672376621044,True,0.5348571428571428,1.0,5,0.003972627595496256
234,S4,1644,-1.291722271523555,S2,1642,-0.62,"[(1644, 'S4', -1.291722271523555, 'driver'), (1642, 'S2', -0.62, 'bridge')]",2,-0.0017520133937204757,-0.0017520133937204757,-0.0,0.0017520133937204757,0.734783888398664,0.6948942344077552,-0.039889653990908824,True,0.5085714285714286,1.0,4,0.003873938366154057
234,S4,1644,-1.291722271523555,S2,1642,-0.46499999999999997,"[(1644, 'S4', -1.291722271523555, 'driver'), (1642, 'S2', -0.46499999999999997, 'bridge')]",2,-0.0017520133937204757,-0.0017520133937204757,-0.0,0.0017520133937204757,0.734783888398664,0.6954053435715817,-0.03937854482708236,True,0.5085714285714286,1.0,4,0.0038522798986266255
234,S4,1644,-1.291722271523555,S2,1642,-0.31,"[(1644, 'S4', -1.291722271523555, 'driver'), (1642, 'S2', -0.31, 'bridge')]",2,-0.0017520133937204757,-0.0017520133937204757,-0.0,0.0017520133937204757,0.734783888398664,0.6968350008485881,-0.03794888755007597,True,0.5085714285714286,1.0,4,0.003791697565338794
184,S2,1292,1.2802977332677983,S1,1291,0.46499999999999997,"[(1292, 'S2', 1.2802977332677983, 'driver'), (1291, 'S1', 0.46499999999999997, 'bridge')]",2,-0.0017336546419828576,-0.0013663658037879303,-0.0003672888381949272,0.0017336546419828576,0.6840839009131192,0.6466203711947135,-0.03746352971840572,True,0.5348571428571428,1.0,5,0.0037482491482243906
234,S4,1644,-1.291722271523555,S2,1642,-0.15500000000000003,"[(1644, 'S4', -1.291722271523555, 'driver'), (1642, 'S2', -0.15500000000000003, 'bridge')]",2,-0.0017520133937204757,-0.0017520133937204757,-0.0,0.0017520133937204757,0.734783888398664,0.699231267220968,-0.03555262117769609,True,0.5085714285714286,1.0,4,0.0036901547617922545
184,S2,1292,1.2802977332677983,S1,1291,0.30999999999999994,"[(1292, 'S2', 1.2802977332677983, 'driver'), (1291, 'S1', 0.30999999999999994, 'bridge')]",2,-0.0016112250292512151,-0.0013663658037879303,-0.00024485922546328476,0.0016112250292512151,0.6840839009131192,0.6491459678144003,-0.034937933098718954,True,0.5348571428571428,1.0,5,0.0034886374867986922
184,S2,1292,1.2802977332677983,S3,1293,0.62,"[(1292, 'S2', 1.2802977332677983, 'driver'), (1293, 'S3', 0.62, 'bridge')]",2,-0.0013663658037879303,-0.0013663658037879303,0.0,0.0013663658037879303,0.6840839009131192,0.6421897739520743,-0.041894126961044886,True,0.5348571428571428,1.0,5,0.0034782322835139436
